,rank,song,artist,peak-rank,weeks-on-board
118848,49,Touch It,Monifah,9,26
118891,92,Celebrity Skin,Hole,85,9
118894,95,All The Places (I Will Kiss You),Aaron Hall,26,16
118896,97,Wherever You Go,Voices Of Theory,36,16
118897,98,Come And Get With Me,Keith Sweat Featuring Snoop Dogg,12,15
118898,99,Husbands And Wives,Brooks & Dunn,36,9
118941,42,Are You That Somebody?,Aaliyah,21,8
118993,94,Fire Escape,Fastball,86,8
118994,95,Big Big World,Emilia,92,2
118998,99,My Little Secret,Xscape,9,14
118999,100,Just The Two Of Us,Will Smith,20,11
119034,35,The First Night,Monica,1,23
119066,67,I Don't Want To Miss A Thing,Aerosmith,1,20
119079,80,Wide Open Spaces,Dixie Chicks,41,20
119089,90,Hooch,Everything,69,7
119092,93,Westside,TQ,12,16
119096,97,It's The Things You Do,Five,53,10
119097,98,Whatcha Wanna Do?,Mia X Featuring Charlie Wilson,41,7
119099,100,I Can Do That,Montell Jordan,14,18
119193,94,Can't Get Enough,Willie Max Featuring Raphael Saadiq,49,10
119197,98,The Chanukah Song,Adam Sandler,80,2
119288,89,We Really Shouldn't Be Doing This,George Strait,44,5
119291,92,Don't Laugh At Me,Mark Wills,73,5
119295,96,How Do You Fall In Love,Alabama,82,5
119297,98,A Little Past Little Rock,Lee Ann Womack,43,10
119298,99,Lean On Me,"Kirk Franklin Featuring Mary J. Blige, Bono, R. Kelly, Crystal Lewis & The Family",79,5
119299,100,It's Your Song,Garth Brooks,62,5
119389,90,Where The Green Grass Grows,Tim McGraw,79,4
119398,99,Here We Come,"Timbaland Featuring Missy ""Misdemeanor"" Elliott & Magoo",92,4
119399,100,If I Lost You,Travis Tritt,86,11
119431,32,Crush,Jennifer Paige,3,25
119463,64,I Still Love You,Next,14,20
119488,89,Movin' On,Mya Featuring Silkk The Shocker,34,20
119496,97,Thinkin' Bout It,Gerald Levert,12,16
119497,98,Jump Jive An' Wail,The Brian Setzer Orchestra,94,3
119499,100,How Do You Sleep At Night,Wade Hayes,67,3
119541,42,Torn,Natalie Imbruglia,42,2
119544,45,I'll Never Break Your Heart,Backstreet Boys,35,2
119549,50,Real World,matchbox 20,38,2
119586,87,Absence Of The Heart,Deana Carter,83,2
119597,98,Everything's Changed,Lonestar,95,2
119658,59,Tearin' Up My Heart,'N Sync,59,1
119696,97,Time After Time,Inoj,6,16
119697,98,Splackavellie,Pressha,27,14
119699,100,SuperThug (What What),Noreaga,36,13
119721,22,Never Ever,All Saints,4,19
119722,23,You're Still The One,Shania Twain,2,42
119723,24,Adia,Sarah McLachlan,3,27
119726,27,Truly Madly Deeply,Savage Garden,1,52
119730,31,The Boy Is Mine,Brandy & Monica,1,27
119733,34,When The Lights Go Out,Five,10,26
119734,35,Make It Hot,"Nicole Featuring Missy ""Misdemeanor"" Elliott & Mocha",5,23
119735,36,My Way,Usher,2,24
119737,38,So Into You,Tamia,30,20
119741,42,All My Life,K-Ci & JoJo,1,36
119745,46,Everything's Gonna Be Alright,Sweetbox,46,8
119746,47,Daydreamin',Tatyana Ali,6,17
119747,48,How's It Going To Be,Third Eye Blind,9,52
119749,50,Lookin' At Me,Mase Featuring Puff Daddy,8,19
119750,51,Still A G Thang,Snoop Dogg,19,13
119753,54,Money's Just A Touch Away,Mack 10 Featuring Gerald Levert,54,4
119754,55,Friend Of Mine,Kelly Price,12,20
119755,56,Lost In Love,Nastyboy Klick,53,9
119756,57,Daysleeper,R.E.M.,57,3
119757,58,Shimmer,Fuel,42,12
119759,60,Let The Music Heal Your Soul,BRAVO All Stars,60,4
119760,61,Don't Let It Go To Your Head,Brand Nubian,54,6
119761,62,Intergalactic,Beastie Boys,28,18
119762,63,Enjoy Yourself,A+,63,3
119763,64,Perfect,The Smashing Pumpkins,54,6
119764,65,Music Sounds Better With You,Stardust,62,8
119765,66,Goodbye To My Homies,"Master P Featuring Silkk The Shocker, Sons Of Funk And Mo B. Dick",27,16
119766,67,I Had No Right,P.M. Dawn,44,10
119767,68,Nobody Else,Tyrese,36,15
119768,69,Invasion Of The Flat Booty B*****s,Too $hort,51,10
119769,70,If I Can't Have You,L.F.O. (Lyte Funky Ones) (Featuring Kayo),70,4
119770,71,Landslide,Fleetwood Mac,51,20
119771,72,Cruel Summer,Ace Of Base,10,20
119772,73,How's It Goin' Down,DMX Featuring Faith Evans,70,10
119773,74,Better Days,WC Featuring Jon B.,64,7
119774,75,26 Cents,The Wilkinsons,55,18
119775,76,Don't Let This Moment End,Gloria Estefan,76,2
119776,77,Dr. Greenthumb,Cypress Hill,70,11
119777,78,Whenever You're Near Me,Ace Of Base,76,5
119779,80,(Do You) Wanna Ride,Reel Tight,80,1
119780,81,Life Ain't Easy,Cleopatra,81,5
119781,82,Let Me Return The Favor,Andrea Martin,82,5
119782,83,Strawberry,Nicole Renee,83,2
119783,84,Suavemente,Elvis Crespo,84,2
119784,85,Only When I Lose Myself,Depeche Mode,61,9
119785,86,If I Had The Chance,Cynthia,83,7
119787,88,Touch Me,Solo,59,12
119788,89,Yesterday,Debelah Morgan,56,11
119790,91,No Fool No More,En Vogue,57,8
119792,93,Only You,Tami Davis,93,1
119793,94,I Still Love You,Lil Suzy,94,1
119796,97,I Should Cheat On You,J'Son,72,13
119798,99,Gotta Be,Jagged Edge,23,16
119799,100,The Street Mix,Mag 7,93,5
119849,50,I Don't Want To Wait,Paula Cole,11,56
119870,71,Ray Of Light,Madonna,5,20
119889,90,Deadly Zone,Bounty Killer Featuring Mobb Deep & Rappin' Noyd,79,7
119893,94,Here We Go,Funkmaster Flex Presents Khadejia Featuring Product,72,14
119896,97,I Ain't Havin' That,Heltah Skeltah Featuring Starang Wondah Of O.G.C. & Doc Holiday,80,7
119948,49,Still Not A Player,Big Punisher Featuring Joe,24,23
119949,50,Ghetto Supastar (That Is What You Are),Pras Michel Feat. Ol' Dirty Bastard & Introducing Mya,15,21
119972,73,Ooh La La,Rod Stewart,39,20
119977,78,Money Ain't A Thang,JD Featuring Jay-Z,52,20
119989,90,Can't We Try,Rockell [Duet With Collage],59,20
119997,98,Ava Adore,The Smashing Pumpkins,42,20
120073,74,Come With Me,Puff Daddy Featuring Jimmy Page,4,20
120094,95,Nobody Does It Better,Nate Dogg Featuring Warren G,18,18
120098,99,Cleopatra's Theme,Cleopatra,26,19
120099,100,Horse & Carriage,Cam'Ron Featuring Mase,41,17
120143,44,Say It,Voices Of Theory,10,31
120146,47,Together Again,Janet,1,46
120193,94,Woof Woof,69 Boyz,31,16
120194,95,Jackie's Strength,Tori Amos,54,5
120198,99,What I Didn't Know,Athenaeum,58,14
120199,100,What U See Is What U Get,Xzibit,50,14
120280,81,You Only Have To Say You Love Me,Hannah Jones,65,20
120287,88,It's Alright,Memphis Bleek (& Jay-Z),61,12
120295,96,Definition,Mos Def & Kweli Are Black Star,60,10
120297,98,Stop,Spice Girls,16,19
120298,99,Delicious,Pure Sugar,66,12
120299,100,Find A Way,A Tribe Called Quest,71,7
120349,50,Sex And Candy,Marcy Playground,8,28
120381,82,You Won't Forget Me,La Bouche,48,20
120396,97,Remember When,Color Me Badd,48,13
120397,98,Paper,Queen Latifah Featuring Apache,50,10
120398,99,'98 Thug Paradise,"Tragedy, Capone, Infinite",86,5
120399,100,I Wasn't With It,Jesse Powell,85,9
120444,45,How Do I Live,LeAnn Rimes,2,69
120484,85,Shorty (You Keep Playin' With My Mind),Imajin Featuring Keith Murray,25,20
120494,95,Destiny,Myron,47,13
120496,97,Whatcha Gone Do?,Link,23,19
120499,100,One Heart At A Time,Various Artists,56,20
120545,46,To The Moon And Back,Savage Garden,24,33
120546,47,Gettin' Jiggy Wit It,Will Smith,1,32
120567,68,Heaven's What I Feel,Gloria Estefan,27,20
120575,76,I Get Lonely,Janet Featuring BLACKstreet,3,20
120592,93,Hey Now Now,Swirl 360,47,11
120595,96,How Do I Say I'm Sorry,Tami Davis,63,14
120596,97,Wishlist,Pearl Jam,47,20
120598,99,Black Ice (Sky High),Goodie Mob Featuring Outkast,50,15
120647,48,Looking Through Your Eyes,LeAnn Rimes,18,24
120690,91,Stepping Stone,Lari White,73,12
120692,93,Here We Go Again,Aretha Franklin,76,11
120694,95,Cover You In Kisses,John Michael Montgomery,91,9
120695,96,Cheated (To All The Girls),Wyclef Jean Featuring Queen Pen & The Product,61,8
120696,97,If You Ever Have Forever In Mind,Vince Gill,60,13
120697,98,Spark,Tori Amos,49,14
120699,100,2 Way Street,Missjones,62,13
120750,51,My All,Mariah Carey,1,20
120772,73,Turn It Up [Remix]/Fire It Up,Busta Rhymes,10,20
120789,90,Stop Being Greedy,DMX,79,6
120799,100,Stand By Me,4 The Cause,82,5
120849,50,Everybody [Backstreet's Back],Backstreet Boys,4,22
120898,99,The Arms Of The One Who Loves You,Xscape,7,20
120899,100,Ninety Nine [Flash The Message],John Forte,59,16
120942,43,I'm Alright,Jo Dee Messina,43,24
120995,96,Ding-A-Ling,Hi-Town DJs,56,19
120997,98,Push It,Garbage,52,18
120998,99,Not About Romance,Inner Circle,92,6
120999,100,There You Are,Sam Salter,57,12
121041,42,They Don't Know,Jon B,7,31
121081,82,Recover Your Soul,Elton John,55,20
121091,92,There's Your Trouble,Dixie Chicks,36,16
121096,97,I Just Want To Dance With You,George Strait,61,19
121098,99,Do Your Thing,7 Mile,50,19
121099,100,Freak Out,Nutta Butta Featuring Teddy Riley And Anonymous,63,11
121154,55,I Got The Hook Up!,Master P Featuring Sons Of Funk,16,20
121248,49,I Want You Back,'N Sync,13,24
121291,92,Love For Free,Rell Featuring Jay-Z,86,3
121293,94,Love The Way,EOL,79,6
121295,96,Now That I Found You,Terri Clark,72,13
121298,99,I Honestly Love You (David Foster Vers.),Olivia Newton-John,67,12
121299,100,"Money, Power & Respect",The Lox [Featuring DMX & Lil' Kim],17,20
121363,64,Raise The Roof,Luke Featuring No Good But So Good,26,20
121375,76,Cheers 2 U,Playa,38,20
121376,77,Bitter Sweet Symphony,The Verve,12,20
121396,97,A Man Holdin' On (To A Woman Lettin' Go),Ty Herndon,81,10
121397,98,Boom Bye Yae,Reiss Featuring Special Guest Michie Mee,90,2
121398,99,What The World Needs Now Is Love,Dionne Warwick And The Hip-Hop Nation United,87,2
121399,100,Do You,Heather B.,89,2
121445,46,Make Em' Say Uhh!,"Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal",16,27
121455,56,Frozen,Madonna,2,20
121471,72,Victory,Puff Daddy & The Family Featuring The Notorious B.I.G. & Busta Rh,19,20
121491,92,Imagination,Tamia,37,20
121496,97,Clock Strikes,Timbaland & Magoo,37,14
121497,98,I'm From The Country,Tracy Byrd,63,18
121498,99,I Do [Cherish You],Mark Wills,72,13
121499,100,The Actual,All City,75,4
121542,43,Let's Ride,Montell Jordan Feat. Master P & Silkk The Shocker,2,21
121546,47,"No, No, No",Destiny's Child,3,35
121548,49,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1,42
121554,55,Who Am I,Beenie Man,40,20
121555,56,It's All About Me,Mya & Sisqo,6,20
121592,93,Whatuon,LaTanya Featuring Twista,85,7
121596,97,Sin So Well,Rebekah,80,6
121598,99,There Goes My Baby,Trisha Yearwood,93,2
121599,100,Baby Be There,Nu Flavor,83,7
121645,46,Body Bumpin' Yippie-Yi-Yo,Public Announcement,5,22
121695,96,The Mummers' Dance,Loreena McKennitt,18,20
121697,98,Do For Love,2Pac Featuring Eric Williams,21,18
121698,99,Second Round K.O.,Canibus,28,15
121748,49,You Make Me Wanna...,Usher,2,47
121749,50,What You Want,Mase Featuring Total,6,24
121752,53,My Heart Will Go On,Celine Dion,1,20
121755,56,Get At Me Dog,DMX Featuring Sheek Of The Lox,39,20
121791,92,The Unforgiven II,Metallica,59,15
121794,95,Party Ain't A Party,"Queen Pen Featuring Teddy Riley, Nutta Butta, Markell & Jesse Wes",74,4
121795,96,Know What You Mean,Sister 7,76,7
121797,98,The Party Continues,JD Featuring Da Brat,29,19
121798,99,A Rose Is Still A Rose,Aretha Franklin,26,18
121890,91,This Is How We Party,S.O.A.P.,51,12
121892,93,Hooked On A Feeling (Ooga-Chaka),Baby Talk,71,6
121895,96,One Of These Days,Tim McGraw,74,10
121896,97,Just Be Straight With Me,"Silkk The Shocker Featuring Master P, Destiny's Child, O'Dell, Mo",57,16
121898,99,Blue On Black,The Kenny Wayne Shepherd Band,78,10
121899,100,My Heart Will Go On,Deja Vu,58,17
121944,45,Nice & Slow,Usher,1,23
121959,60,Romeo And Juliet,Sylk-E. Fyne Featuring Chill,6,20
121988,89,Too Much,Spice Girls,9,20
121993,94,Gitty Up,Salt-N-Pepa,50,14
121994,95,Out Of My Bones,Randy Travis,64,10
121996,97,Rain,SWV,25,14
121997,98,I Wanna Get Next To You,Christion,86,4
121998,99,It's Your Love,She Moves,67,15
121999,100,Still Po' Pimpin',Do Or Die Featuring Johnny P & Twista,62,14
122048,49,Deja Vu [Uptown Baby],Lord Tariq & Peter Gunz,9,28
122049,50,Gone Till November,Wyclef Jean,7,20
122063,64,Love You Down,INOJ/LATHUN,25,20
122095,96,Are You Jimmy Ray?,Jimmy Ray,13,18
122097,98,Light In Your Eyes,Blessid Union Of Souls,48,19
122099,100,That's Why I'm Here,Kenny Chesney,79,7
122183,84,The City Is Mine,Jay-Z Featuring BLACKstreet,52,20
122189,90,A Promise I Make,Dakota Moon,69,13
122195,96,Let's Forget About It,Lisa Loeb,71,7
122197,98,Strawberries,Smooth,49,17
122198,99,Come Over To My Place,Davina,81,9
122199,100,"Have Fun, Go Mad",Blair,86,4
122245,46,Kiss The Rain,Billie Myers,15,31
122271,72,In A Dream,Rockell,72,20
122298,99,Superhero,Daze,88,3
122299,100,Then What?,Clay Walker,65,18
122393,94,Moan & Groan,Mark Morrison,76,7
122396,97,I Know Where It's At,All Saints,36,18
122397,98,If I Never Stop Loving You,David Kersh,67,16
122398,99,Bring It On,Keith Washington,63,13
122399,100,Sweet Honesty,M:G,91,5
122489,90,Burn,Militia,52,20
122491,92,Love Me Good,Michael W. Smith,61,5
122493,94,Pink,Aerosmith,27,13
122494,95,It's Up To You,The Tuesdays,55,10
122495,96,Reality,Elusion,75,11
122497,98,Life In Mono,Mono,70,15
122498,99,Out Of Sight (YO),Rufus Blaq,97,4
122499,100,I Don't Wanna Go On,Innerlude,95,2
122545,46,I Don't Ever Want To See You Again,Uncle Sam,6,28
122592,93,Off The Hook,Jody Watley,73,13
122593,94,Father,LL Cool J,18,16
122595,96,Dangerous,Busta Rhymes,9,19
122596,97,Sweet Surrender,Sarah McLachlan,28,14
122598,99,All My Love,Queen Pen Featuring Eric Williams,28,15
122653,54,Swing My Way,K.P. & Envyi,6,20
122695,96,Given To Fly,Pearl Jam,21,16
122791,92,All I Do,Somethin' For The People,47,11
122794,95,Get Ready To Bounce,Brooklyn Bounce,95,4
122795,96,What Would Happen,Meredith Brooks,46,10
122798,99,If You Think I'm Jiggy,The Lox,30,13
122799,100,Am I Dreaming,Ol Skool [Featuring Keith Sweat & Xscape],31,13
122847,48,Been Around The World,Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase),2,21
122848,49,Semi-Charmed Life,Third Eye Blind,4,43
122849,50,Show Me Love,Robyn,7,24
122855,56,A Song For Mama,Boyz II Men,7,20
122892,93,We're Not Making Love No More,Dru Hill,13,20
122894,95,Gotta Be...Movin' On Up,PRINCE BE & Ky-Mani,90,5
122896,97,Say You'll Stay,KAI,59,19
122899,100,Just Clownin',WC From Westside Connection,56,20
122947,48,Quit Playing Games (With My Heart),Backstreet Boys,2,43
122949,50,All For You,Sister Hazel,11,41
122998,99,Ain't That Just The Way,Lutricia McNeal,63,16
122999,100,32 Flavors,Alana Davis,37,20
123049,50,Tubthumping,Chumbawamba,6,31
123080,81,I Will Come To You,Hanson,9,20
123096,97,What If I Said,Anita Cochran (Duet With Steve Wariner),59,15
123097,98,Going Back To Cali,The Notorious B.I.G.,26,19
123098,99,Send My Love/Send One Your Love,Born Jamericans,72,10
123099,100,Jealousy,Kim Sanders,89,10
123179,80,Brian Wilson,Barenaked Ladies,68,20
123196,97,The Memory Remains,Metallica,28,19
123198,99,The Note,Daryle Singletary,90,6
123199,100,Lollipop (Candyman),Aqua,23,17
123248,49,I Do,Lisa Loeb,17,22
123293,94,Tic Tic Tac,Fruit De La Passion,81,8
123296,97,Nothin' Move But The Money,Mic Geronimo Featuring DMX & Black Rob,70,6
123299,100,Saint Of Me,The Rolling Stones,94,4
123347,48,Heaven,Nu Flavor,27,24
123368,69,At The Beginning,Richard Marx & Donna Lewis,45,20
123372,73,Breaking All The Rules,She Moves,32,20
123378,79,Spice Up Your Life,Spice Girls,18,20
123392,93,"So Long (Well, Well, Well)",Phajja,87,5
123394,95,Roxanne `97 - Puff Daddy Remix,Sting & The Police,59,13
123398,99,Don't Be Stupid (You Know I Love You),Shania Twain,40,16
123399,100,What If,Reba McEntire,50,15
123444,45,My Body,LSG,4,20
123448,49,Feel So Good,Mase,5,20
123482,83,I'm Not A Player,Big Punisher,57,20
123491,92,I Can Love You Better,Dixie Chicks,77,7
123494,95,Tha Hop,Kinsu,88,8
123496,97,The Day That She Left Tulsa (In A Chevy),Wade Hayes,86,5
123497,98,"4, 3, 2, 1","LL Cool J Featuring Method Man, Redman, DMX, Canibus And Master P",75,12
123498,99,Tuck Me In,Kimberly Scott,58,14
123499,100,"Young, Sad And Blue",Lysette,75,10
123584,85,You're Not Alone,Olive,56,20
123592,93,Something That We Do,Clint Black,76,9
123596,97,I'm Afraid Of Americans,David Bowie,66,16
123597,98,So Good,Davina,60,19
123598,99,Tubthumping,Chucklebutt,87,6
123599,100,Love Of My Life,Sammy Kershaw,85,5
123648,49,No Tengo Dinero,Los Umbrellos,42,27
123660,61,Sock It 2 Me,"Missy ""Misdemeanor"" Elliott Featuring Da Brat",12,20
123664,65,If I Could Teach The World,Bone Thugs-N-Harmony,27,20
123666,67,One More Night,Amber,58,20
123677,78,So Help Me Girl,Gary Barlow,44,20
123694,95,You Know My Steez,Gang Starr,76,13
123699,100,L-L-Lies,Diana King,71,15
123743,44,Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase,1,30
123746,47,Foolish Games/You Were Meant For Me,Jewel,2,65
123748,49,My Love Is The Shhh!,Somethin' For The People Featuring Trina & Tamara,4,26
123771,72,They Like It Slow,H-Town,35,20
123793,94,I Wonder If Heaven Got A Ghetto,2Pac,67,11
123798,99,Don't Stop The Music,Playa,73,15
123799,100,Love Gets Me Every Time,Shania Twain,25,20
123846,47,All Cried Out,Allure Featuring 112,4,25
123849,50,Sunny Came Home,Shawn Colvin,7,32
123856,57,Criminal,Fiona Apple,21,20
123857,58,The One I Gave My Heart To,Aaliyah,9,20
123877,78,Valentine,Martina McBride With Jim Brickman,50,20
123889,90,Last Night's Letter,K-Ci & JoJo,46,20
123893,94,Sugar Cane,Spacemonkeyz,58,4
123942,43,Butta Love,Next,16,23
123943,44,4 Seasons Of Loneliness,Boyz II Men,1,20
123949,50,What About Us,Total,16,24
123968,69,Everything,Mary J. Blige,24,20
123989,90,Still Waters (Run Deep),Bee Gees,57,9
123995,96,Man Behind The Music,Queen Pen Featuring Teddy Riley,84,9
123996,97,Don't Go,Le Click Featuring Kayo,62,19
123997,98,In Harm's Way,BeBe Winans,83,12
123998,99,Spin Spin Sugar,Sneaker Pimps,87,13
123999,100,Much Better,Club 69 Featuring Suzanne Palmer,95,3
124046,47,Building A Mystery,Sarah McLachlan,13,22
124092,93,Mourn You Til I Join You,Naughty By Nature,51,12
124093,94,Smack My Bitch Up,The Prodigy,89,7
124095,96,"Too Gone, Too Long",En Vogue,33,17
124096,97,Doin' Time,Sublime,87,7
124098,99,The Rest Of Mine,Trace Adkins,70,16
124099,100,Up & Down,Billy Lawrence,92,7
124145,46,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1,33
124146,47,Honey,Mariah Carey,1,20
124148,49,2 Become 1,Spice Girls,4,24
124154,55,Legend Of A Cowgirl,Imani Coppola,36,20
124181,82,You Light Up My Life,LeAnn Rimes,34,20
124195,96,Rhythm Of Love,DJ Company,53,19
124196,97,Santa's A Fat Bitch,Insane Clown Posse,67,5
124198,99,All Of My Days,Changing Faces (Featuring Jay-Z),65,12
124199,100,Barbie Girl,Aqua,7,16
124249,50,Invisible Man,98 Degrees,12,28
124267,68,You Should Be Mine (Don't Waste Your Time),Brian McKnight Featuring Mase,17,20
124278,79,I Miss My Homies,Master P Featuring Pimp C And The Shocker,25,20
124298,99,Only If...,Enya,88,3
124299,100,Did I Shave My Legs For This?,Deana Carter,85,6
124350,51,I Care 'Bout You,Milestone,23,20
124366,67,Backyard Boogie,Mack 10,37,20
124378,79,Around The World,Daft Punk,61,20
124386,87,Grandma Got Run Over By A Reindeer,Elmo & Patsy,87,1
124491,92,Have A Little Mercy,4.0,46,20
124494,95,I'm So Happy I Can't Stop Crying,Toby Keith With Sting,84,5
124592,93,Phenomenon,LL Cool J,55,9
124594,95,Free,Ultra Nate,75,19
124597,98,DJ Keep Playin' (Get Your Music On),Yvette Michele,84,7
124672,73,Never Make A Promise,Dru Hill,7,20
124685,86,Avenues,Refugee Camp All Stars Featuring Pras (With Ky-mani),35,14
124692,93,Baby You Know,The O'Jays,76,7
124693,94,Home,Depeche Mode,88,3
124696,97,Please,The Kinleys,67,12
124698,99,You're The Inspiration,Peter Cetera Featuring Az Yet,77,10
124749,50,Barely Breathing,Duncan Sheik,16,55
124760,61,Coco Jamboo,Mr. President,21,20
124781,82,Do You Like This,Rome,31,20
124794,95,You Walked In,Lonestar,93,4
124796,97,On My Own,Peach Union,39,13
124847,48,Do You Know (What It Takes),Robyn,7,28
124849,50,The Freshmen,The Verve Pipe,5,42
124881,82,Don't Say,Jon B,68,15
124889,90,Love Is Alive,3rd Party,61,11
124893,94,Someone,SWV (Featuring Puff Daddy),19,20
124894,95,"After 12, Before 6",Sam Salter,51,16
124897,98,Get It Wet,Twista,96,2
124899,100,Electric Barbarella,Duran Duran,52,9
124947,48,Not Tonight,"Lil' Kim Feat. Da Brat, Left Eye, Missy Elliott & Angie Mar",6,21
124948,49,Return Of The Mack,Mark Morrison,2,40
124949,50,Up Jumps Da Boogie,Magoo And Timbaland,12,20
124957,58,I Say A Little Prayer,Diana King,38,20
124979,80,Gotham City,R. Kelly,9,20
124996,97,Kiss You All Over,No Mercy,80,3
124997,98,Down For Yours,Nastyboy Klick Featuring Roger Troutman,69,17
124998,99,I Can Love You,Mary J. Blige,28,19
124999,100,Alright,Jamiroquai,78,8
125090,91,"Big Bad Mamma (From ""Def Jam's How To Be A Player"")",Foxy Brown Featuring Dru Hill,53,15
125093,94,The Joint,EPMD,94,3
125097,98,Me And My Crazy World,Lost Boyz,52,10
125149,50,Bitch,Meredith Brooks,2,30
125179,80,"C U When U Get There (From ""Nothing To Lose"")",Coolio Featuring 40 Thevz,12,20
125194,95,Jack-Ass,Beck,73,10
125196,97,The Way That You Talk,Jagged Edge Featuring Da Brat & JD,65,9
125199,100,Dream,Forest For The Trees,72,3
125289,90,"Can We (From ""Booty Call"")",SWV,75,15
125293,94,"A Smile Like Yours (From ""A Smile Like Yours"")",Natalie Cole,84,5
125296,97,Go Away,Lorrie Morgan,85,6
125297,98,Take It To The Streets,Rampage Featuring Billy Lawrence,34,17
125298,99,More Than This,"10,000 Maniacs",25,18
125299,100,As We Lay,Dana,59,11
125385,86,Piece Of My Heart,Shaggy (Featuring Marsha),72,10
125386,87,Hole In My Soul,Aerosmith,51,11
125388,89,"Look Into My Eyes (From ""Batman & Robin"")",Bone Thugs-N-Harmony,4,20
125394,95,"All I Want (From ""GOOD Burger"")",702,35,12
125395,96,I'm Not A Fool,Immature,69,8
125397,98,Sunshine,Jay-Z Featuring Babyface And Foxy Brown,95,2
125398,99,"Pushin' Inside You (From ""How Bout It"")",Sons Of Funk,97,2
125399,100,When Love Starts Talkin',Wynonna,98,2
125444,45,ESPN Presents The Jock Jam,Various Artists,31,25
125449,50,G.H.E.T.T.O.U.T.,Changing Faces,8,25
125487,88,You Bring Me Up,K-Ci & JoJo,26,20
125489,90,Smile,Scarface Featuring 2Pac & Johnny P,12,19
125492,93,Things Just Ain't The Same,Deborah Cox,56,17
125495,96,We Can Get Down,Myron,75,8
125498,99,"Men Of Steel (From ""Steel"")","Shaquille O'Neal, Ice Cube, B Real, Peter Gunz & KRS-One",82,7
125499,100,Whatever,En Vogue,16,15
125548,49,"For You I Will (From ""Space Jam"")",Monica,4,32
125569,70,When I Die,No Mercy,41,20
125573,74,"Go The Distance (From ""Hercules"")",Michael Bolton,24,20
125596,97,Alone,Bee Gees,28,20
125645,46,Say You'll Be There,Spice Girls,3,21
125647,48,I Want You,Savage Garden,4,33
125648,49,Hard To Say I'm Sorry,Az Yet Featuring Peter Cetera,8,34
125695,96,Four Leaf Clover,Abra Moore,63,13
125696,97,To Make You Feel My Love,Billy Joel,50,9
125697,98,Off The Books,The Beatnuts Featuring Big Punisher & Cuban Link,86,3
125784,85,Fix,BLACKstreet With Special Guests Ol' Dirty Bastard & Slash,58,10
125788,89,Need Your Love,Big Bub Featuring Queen Latifah & Heavy D,70,5
125789,90,Can't Let Go,Laurnea,55,15
125791,92,"Never, Never Gonna Give You Up",Lisa Stansfield,74,9
125795,96,When You Talk About Love,Patti LaBelle,56,12
125796,97,Butterfly Kisses,Raybon Bros.,22,17
125797,98,Can't Get You Out Of My Mind,Lil Suzy,79,10
125799,100,It's Alright,Queen Latifah,76,4
125848,49,6 Underground,Sneaker Pimps,45,22
125849,50,MMMBop,Hanson,1,22
125854,55,It's Your Love,Tim McGraw With Faith Hill,7,20
125891,92,Supernatural,Wild Orchid,70,6
125892,93,It's No Good,Depeche Mode,38,20
125894,95,Happy With You,Samantha Cole,78,5
125957,58,I Wanna Be There,Blessid Union Of Souls,39,20
125996,97,Smokin' Me Out,Warren G Featuring Ronald Isley,35,14
125998,99,"Drink, Swear, Steal & Lie",Michael Peterson,86,7
125999,100,Thinking Of You,Tony Toni Tone,22,20
126083,84,Can U Feel It,3rd Party,43,20
126094,95,Relax & Party,Ivory,88,5
126097,98,What's Stopping You,The O'Jays,73,11
126099,100,"Don't Wanna Be A Player (From ""Booty Call"")",Joe,21,20
126146,47,Cupid,112,13,28
126147,48,I Belong To You (Every Time I See Your Face),Rome,6,26
126179,80,Hypnotize,The Notorious B.I.G.,1,20
126193,94,[Freak] And U Know It,Adina Howard,70,7
126195,96,Listen,Collective Soul,72,11
126197,98,Last Night On Earth,U2,57,8
126198,99,Tide Is High,Angelina,89,4
126199,100,"How Do I Live (From ""Con Air"")",Trisha Yearwood,23,12
126247,48,Where Have All The Cowboys Gone?,Paula Cole,8,21
126276,77,Sweet Sexy Thing,Nu Flavor Featuring Roger,62,20
126283,84,Until I Find You Again,Richard Marx,42,20
126289,90,Far From Yours,O.C. Featuring Yvette Michele,81,3
126290,91,5 Miles To Empty,Brownstone,39,16
126295,96,We Trying To Stay Alive,Wyclef Jean Featuring Refugee Allstars,45,12
126296,97,Stranger In Moscow,Michael Jackson,91,2
126297,98,"Dancehall Queen (From ""Dancehall Queen"")",Beenie Man Featuring Chevelle Franklyn,90,3
126346,47,Call Me,Le Click,35,25
126383,84,Full Of Smoke,Christion,53,18
126386,87,Come With Me,Keith Sweat (Featuring Ronald Isley),68,11
126392,93,"No One But You (From ""Baps"")",Veronica (Featuring Craig Mack),66,13
126393,94,My Baby Daddy,B-Rock & The Bizz,10,19
126394,95,Summertime Summertime,Corina,86,8
126395,96,"If I Could Change (From ""I'm Bout It"")",The Lemonheads,60,15
126396,97,Staring At The Sun,U2,26,18
126397,98,Hip Hop Drunkies,Tha Alkaholiks Featuring Ol' Dirty Bastard,66,9
126398,99,Just Another Case,CRU Featuring Slick Rick,68,8
