,rank,song,artist,peak-rank,weeks-on-board
184399,100,Rain On The Scarecrow,John Mellencamp,21,12
184488,89,Listen Like Thieves,INXS,54,9
184489,90,If Your Heart Isn't In It,Atlantic Starr,57,12
184490,91,I Must Be Dreaming,Giuffria,52,10
184491,92,Move Away,Culture Club,12,14
184498,99,Addicted To Love,Robert Palmer,1,22
184499,100,Female Intuition,Mai Tai,71,7
184569,70,The Love Parade,The Dream Academy,36,11
184571,72,Take Me Home,Phil Collins,7,16
184575,76,Why Can't This Be Love,Van Halen,3,16
184586,87,The Heat Of Heat,Patti Austin,55,9
184590,91,"Say It, Say It",E.G. Daily,70,10
184593,94,Land Of La La,Stevie Wonder,86,3
184595,96,Tomorrow Doesn't Matter Tonight,Starship,26,13
184598,99,Mothers Talk,Tears For Fears,27,12
184599,100,All The Things She Said,Simple Minds,28,13
184680,81,Has Anyone Ever Written Anything For You,Stevie Nicks,60,6
184682,83,Rough Boy,ZZ Top,22,13
184690,91,Fire With Fire,Wild Blue,71,6
184691,92,Chain Reaction,Diana Ross,66,11
184693,94,Feel It Again,Honeymoon Suite,34,16
184696,97,Where Do The Children Go,Hooters,38,12
184697,98,I Still Want You,The Del Fuegos,87,4
184698,99,Pretty In Pink,Psychedelic Furs,41,11
184699,100,Divided Hearts,Kim Carnes,79,5
184793,94,Stay True,Sly Fox,94,2
184794,95,Let's Go All The Way,Sly Fox,7,25
184796,97,Mutual Surrender (What A Wonderful World),Bourgeois Tagg,62,10
184797,98,Stick Around,Julian Lennon,32,13
184798,99,Never As Good As The First Time,Sade,20,12
184799,100,American Storm,Bob Seger,13,14
184880,81,Manic Monday,The Bangles,2,20
184881,82,Harlem Shuffle,The Rolling Stones,5,13
184888,89,Lead A Double Life,Loverboy,68,7
184889,90,Restless,Starpoint,46,12
184891,92,I Want You,Animotion,84,4
184892,93,Tender Love,Force M.D.'s,10,19
184895,96,Right Between The Eyes,Wax,43,13
184896,97,Vanity Kills,ABC,91,4
184897,98,Saturday Love,Cherrelle With Alexander O'Neal,26,17
184898,99,Innocent Eyes,Graham Nash,84,7
184899,100,Karen,B.E. Taylor Group,94,2
184985,86,What You Need,INXS,5,20
184987,88,Rock Me Amadeus,Falco,1,17
184989,90,Under The Influence,Vanity,56,7
184992,93,Secret Lovers,Atlantic Starr,3,23
184994,95,So Far Away,Dire Straits,19,14
184996,97,These Dreams,Heart,1,20
184997,98,A Little Bit Of Love (Is All It Takes),New Edition,38,15
184998,99,Hands Across America,Voices Of America,65,8
184999,100,I Think It's Love,Jermaine Jackson,16,15
185091,92,Call Me,Dennis DeYoung,54,11
185095,96,R.O.C.K. In The U.S.A. (A Salute to 60's Rock),John Mellencamp,2,17
185096,97,Don't Walk Away,Robert Tepper,85,3
185097,98,Is That It?,Katrina And The Waves,70,8
185098,99,Absolute Beginners,David Bowie,53,9
185099,100,I Do What I Do... (Theme For 9 1/2 Weeks),John Taylor,23,12
185190,91,This Could Be The Night,Loverboy,10,18
185192,93,Night Moves,Marilyn Martin,28,18
185193,94,I Can't Wait,Stevie Nicks,16,13
185195,96,If You Were A Woman (And I Was A Man),Bonnie Tyler,77,6
185196,97,Shot in the Dark,Ozzy Osbourne,68,9
185197,98,For America,Jackson Browne,30,12
185198,99,Nikita,Elton John,7,18
185199,100,Overjoyed,Stevie Wonder,24,13
185277,78,Live Is Life,Opus,32,16
185283,84,Great Gosh A'mighty (Down & Out In Bev. Hills Theme),Little Richard,42,10
185290,91,Somebody Somewhere,Platinum Blonde,82,5
185293,94,Whisper In The Dark,Dionne Warwick,72,9
185294,95,Working Class Man,Jimmy Barnes,74,8
185295,96,Sara,Starship,1,20
185297,98,No Easy Way Out,Robert Tepper,22,16
185298,99,Calling America,Electric Light Orchestra,18,15
185299,100,Once In A Lifetime,Talking Heads,91,4
185389,90,Kyrie,Mr. Mister,1,20
185393,94,King For A Day,Thompson Twins,8,16
185394,95,Bop,Dan Seals,42,15
185395,96,Silent Running (On Dangerous Ground),Mike + The Mechanics,6,24
185396,97,Johnny Come Home,Fine Young Cannibals,76,5
185397,98,Living In The Background,Baltimora,87,4
185398,99,The Power Of Love,Jennifer Rush,57,13
185399,100,"When The Going Gets Tough, The Tough Get Going",Billy Ocean,2,23
185482,83,Your Smile,Rene & Angela,62,6
185487,88,Beat's So Lonely,Charlie Sexton,17,20
185492,93,Do Me Baby,Meli'sa Morgan,46,14
185498,99,Sanctify Yourself,Simple Minds,14,14
185499,100,Love And Rock And Roll,Greg Kihn,92,5
185573,74,Another Night,Aretha Franklin,22,14
185580,81,(How To Be A) Millionaire,ABC,20,14
185581,82,A Good Heart,Feargal Sharkey,74,6
185583,84,The Sweetest Taboo,Sade,5,22
185595,96,I Like You,Phyllis Nelson,61,11
185597,98,Conga,Miami Sound Machine,10,27
185598,99,A Love Bizarre,Sheila E.,11,23
185599,100,Life In A Northern Town,The Dream Academy,7,21
185669,70,I'm Not The One,The Cars,32,11
185675,76,Living In America,James Brown,4,19
185685,86,I Engineer,Animotion,76,6
185693,94,Day By Day,Hooters,18,18
185694,95,That's What Friends Are For,Dionne & Friends,1,23
185696,97,Baby Talk,Alisha,68,17
185699,100,Russians,Sting,16,13
185774,75,Stages,ZZ Top,21,12
185784,85,Let Me Be The One,Five Star,59,9
185785,86,All The Kings Horses,The Firm,61,8
185790,91,Le Bel Age (The Best Years),Pat Benatar,54,8
185792,93,Digital Display,Ready For The World,21,18
