,category,nominee,artist,workers
582,"Best Arrangement, Instrumental or A Cappella",Escapades For Alto Saxophone And Orchestra From Catch Me If You Can,,"John Williams, arranger (John Williams)"
583,"Best Arrangement, Instruments and Vocals",Putin,,"Randy Newman, arranger (Randy Newman)"
584,Best Recording Package,El Orisha De La Rosa,,"Carlos Dussán, Juliana Jaramillo, Juan Felipe Martínez & Claudio Roncoli, art directors (Magín Díaz)"
585,Best Recording Package,Pure Comedy (Deluxe Edition),,"Sasha Barr, Ed Steed & Josh Tillman, art directors (Father John Misty)"
586,Best Boxed Or Special Limited Edition Package,The Voyager Golden Record: 40th Anniversary Edition,,"Lawrence Azerrad, Timothy Daly & David Pescovitz, art directors (Various Artists)"
587,Best Album Notes,Live At The Whisky A Go Go: The Complete Recordings,,"Lynell George, album notes writer (Otis Redding)"
588,Best Historical Album,Leonard Bernstein - The Composer,,"Robert Russ, compilation producer; Martin Kistner & Andreas K. Meyer, mastering engineers (Leonard Bernstein)"
589,"Best Engineered Album, Non-Classical",24K Magic,,"Serban Ghenea, John Hanes & Charles Moniz, engineers; Tom Coyne, mastering engineer (Bruno Mars)"
590,"Producer Of The Year, Non-Classical",Greg Kurstin,,
591,Best Remixed Recording,You Move (Latroit Remix),(Depeche Mode),"Dennis White, remixer"
592,Best Surround Sound Album,Early Americans,(Jane Ira Bloom),"Jim Anderson, surround mix engineer; Darcy Proper, surround mastering engineer; Jim Anderson & Jane Ira Bloom, surround producers"
593,"Best Engineered Album, Classical",Shostakovich: Symphony No. 5; Barber: Adagio,,"Mark Donahue, engineer (Manfred Honeck & Pittsburgh Symphony Orchestra)"
594,"Producer Of The Year, Classical",David Frost,,
595,Best Orchestral Performance,Shostakovich: Symphony No. 5; Barber: Adagio,,"Manfred Honeck, conductor; Dirk Sobotka, producer; Mark Donahue, engineer (Pittsburgh Symphony Orchestra)"
596,Best Opera Recording,Berg: Wozzeck,,"Hans Graf, conductor; Hans Graf & Brad Sayles, producers; Anne Schwanewilms & Roman Trekel, soloists; Brad Sayles, engineer (Chorus Of Students And Alumni, Shepherd School Of Music, Rice University & Houston Grand Opera Children's Chorus; Houston Symphony)"
597,Best Choral Performance,Bryars: The Fifth Century,,"Donald Nally, conductor; Andreas K. Meyer & Paul Vazquez, engineers (The Crossing; PRISM Quartet)"
598,Best Chamber Music/Small Ensemble Performance,Death & The Maiden,,"Patricia Kopatchinskaja, conductor/soloist; The Saint Paul Chamber Orchestra; Blanton Alspaugh, producer; John Newton, engineer; Mark Donahue, engineer/mixer"
599,Best Classical Instrumental Solo,Transcendental,,"Daniil Trifonov; Sid McLauchlan, producer; Marcus Herzog, engineer"
600,Best Classical Solo Vocal Album,Crazy Girl Crazy,,"Barbara Hannigan, soloist; Guido Tichelman, producer; Bastiaan Kuijt, engineer (Ludwig Orchestra)"
601,Best Classical Compendium,"Higdon: All Things Majestic, Viola Concerto & Oboe Concerto",,"Giancarlo Guerrero, conductor; Tim Handley, producer; Gary Call, engineer"
602,Best Contemporary Classical Composition,Viola Concerto,,"Jennifer Higdon, composer (Roberto Díaz, Giancarlo Guerrero & Nashville Symphony)"
603,Best Music Video,HUMBLE.,Kendrick Lamar,"Dave Meyers & The Little Homies, video directors; Jason Baum, Dave Free, Jamie Rabineau, Nathan K. Scherrer & Anthony Tiffith, video producers"
604,Best Music Film,The Defiant Ones,(Various Artists),"Allen Hughes, video director; Sarah Anthony, Fritzi Horstman, Broderick Johnson, Gene Kirkwood, Andrew Kosove, Laura Lancaster, Michael Lombardo, Jerry Longarzo, Doug Pray & Steven Williams, video producers"
605,Record Of The Year,Hello,Adele,"Greg Kurstin, producer; Julian Burg, Tom Elmhirst, Emile Haynie, Greg Kurstin, Liam Nolan, Alex Pasco & Joe Visciano, engineers/mixers; Tom Coyne & Randy Merrill, mastering engineers"
606,Album Of The Year,25,Adele,"Danger Mouse, Samuel Dixon, Paul Epworth, Greg Kurstin, Max Martin, Ariel Rechtshaid, Shellback, Ryan Tedder & The Smeezingtons (Christopher ""Brody"" Brown, Philip Lawrence & Bruno Mars), producers; Julian Burg, Austen Jux Chandler, Cameron Craig, Samuel Dixon, Tom Elmhirst, Declan Gaffney, Serban Ghenea, John Hanes, Emile Haynie, Jan Holzner, Michael Ilbert, Chris Kasych, Greg Kurstin, Charles Moniz, Liam Nolan, Alex Pasco, Mike Piersante, Ariel Rechtshaid, Rich Rich, Dave Schiffman, Joe Visciano & Matt Wiggins, engineers/mixers; Tom Coyne & Randy Merrill, mastering engineers"
607,Song Of The Year,Hello,,"Adele Adkins & Greg Kurstin, songwriters (Adele)"
608,Best New Artist,Chance The Rapper,,
609,Best Pop Solo Performance,Hello,Adele,
610,Best Pop Duo/Group Performance,Stressed Out,Twenty One Pilots,
611,Best Traditional Pop Vocal Album,Summertime: Willie Nelson Sings Gershwin,Willie Nelson,"Buddy Cannon & Matt Rollings, producers; Ed Cherney, engineer/mixer"
612,Best Pop Vocal Album,25,Adele,"Tom Elmhirst, engineer/mixer"
613,Best Dance Recording,Don't Let Me Down,The Chainsmokers Featuring Daya,"The Chainsmokers (Alex Pall & Andrew Taggart), producers; Jordan Young, mixer"
614,Best Dance/Electronic Album,Skin,Flume,"Flume, producer; Eric J Dubowsky & Flume, engineers/mixers"
615,Best Contemporary Instrumental Album,Culcha Vulcha,Snarky Puppy,"Nic Hard, engineer/mixer"
616,Best Rock Performance,Blackstar,David Bowie,
617,Best Metal Performance,Dystopia,Megadeth,
618,Best Rock Song,Blackstar,,"David Bowie, songwriter (David Bowie)"
619,Best Rock Album,Tell Me I'm Pretty,Cage The Elephant,"Dan Auerbach, producer; Collin Dupuis & Tom Elmhirst, engineers/mixers"
620,Best Alternative Music Album,Blackstar,David Bowie,"David Bowie & Tony Visconti, producers; Tom Elmhirst & Kevin Killen, engineers/mixers"
621,Best R&B Performance,Cranes In The Sky,Solange,
622,Best Traditional R&B Performance,Angel,Lalah Hathaway,
623,Best R&B Song,Lake By The Ocean,,"Hod David & Musze, songwriters (Maxwell)"
624,Best Urban Contemporary Album,Lemonade,Beyoncé,"Beyoncé, producer; Stuart White, engineer/mixer"
625,Best R&B Album,Lalah Hathaway Live,Lalah Hathaway,"Lalah Hathaway, producer; Anthony Jeffries, Coobie Lewis & Brian Vibberts, engineers/mixers"
626,Best Rap Performance,No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz,
627,Best Rap/Sung Performance,Hotline Bling,Drake,
628,Best Rap Song,Hotline Bling,,"Aubrey Graham & Paul Jefferies, songwriters (Drake)"
629,Best Rap Album,Coloring Book,Chance The Rapper,"Jeff Lane, engineer/mixer"
630,Best Country Solo Performance,My Church,Maren Morris,
631,Best Country Duo/Group Performance,Jolene,Pentatonix Featuring Dolly Parton,
632,Best Country Song,Humble And Kind,,"Lori McKenna, songwriter (Tim McGraw)"
633,Best Country Album,A Sailor's Guide To Earth,Sturgill Simpson,"Sturgill Simpson, producer; David Ferguson & Sean Sullivan, engineers/mixers"
634,Best New Age Album,White Sun II,White Sun,
635,Best Improvised Jazz Solo,I’m So Lonesome I Could Cry,,"John Scofield, soloist"
636,Best Jazz Vocal Album,Take Me To The Alley,Gregory Porter,"Kamau Kenyatta & Gregory Porter, producers; Jay Newland & Charlie Paakkari, engineers/mixers"
637,Best Jazz Instrumental Album,Country For Old Men,John Scofield,"John Scofield, producer; Jay Newland, engineer/mixer"
638,Best Large Jazz Ensemble Album,Presidential Suite: Eight Variations On Freedom,Ted Nash Big Band,"Douglas Brinkley, Herschel Garfein & Kabir Sehgal, producers; Rob Macomber, engineer/mixer"
639,Best Latin Jazz Album,Tribute To Irakere: Live In Marciac,Chucho Valdés,"Chucho Valdés, producer; Orestes Águila, engineer/mixer"
640,Best Gospel Performance/Song,God Provides,,"Tamela Mann; Kirk Franklin, songwriter"
641,Best Contemporary Christian Music Performance/Song,Thy Will,,"Hillary Scott & The Scott Family; Bernie Herms, Hillary Scott & Emily Weisband, songwriters"
642,Best Gospel Album,Losing My Religion,Kirk Franklin,"Kirk Franklin, Ronald Hill, Shaun Martin & Max Stark, producers; Rob Chiarelli & Tre Nagella, engineers/mixers"
643,Best Contemporary Christian Music Album,Love Remains,Hillary Scott & The Scott Family,"Ricky Skaggs, producer; Richie Biggs, engineer/mixer"
644,Best Roots Gospel Album,Hymns,Joey+Rory,"Joe West, producer; Joshua Craig, Jim DeBlanc, James Ennis, Daniel Grace, Rob Lane & Joe West, engineers/mixers"
645,Best Latin Pop Album,Un Besito Más,Jesse & Joy,"Eduardo De La Paz Canel, engineer/mixer"
646,"Best Latin Rock, Urban or Alternative Album",iLevitable,iLe,"Ismael Cancel & iLe, producers; Noah Georgeson, Ramón Martínez, Harold Wendell Sanders & Carlos Velázquez, engineers/mixers"
647,Best Regional Mexican Music Album (Including Tejano),"Un Azteca En El Azteca, Vol. 1 (En Vivo)",Vicente Fernández,"Gustavo Borner & Javier Ramírez, producers; Gustavo Borner & Javier Ramírez, engineers/mixers"
648,Best Tropical Latin Album,Donde Están?,Jose Lugo & Guasábara Combo,"Gilberto A. Cádenas, producer; Manuel Calero, JoseMa Lugo & Ronnie Torres, engineers/mixers"
649,Best American Roots Performance,House Of Mercy,Sarah Jarosz,
650,Best American Roots Song,Kid Sister,,"Vince Gill, songwriter (The Time Jumpers)"
651,Best Americana Album,This Is Where I Live,William Bell,"John Leventhal, producer; Rick DePofi & John Leventhal, engineers/mixers"
652,Best Bluegrass Album,Coming Home,O'Connor Band With Mark O'Connor,"Gregg Field, producer; Neal Cappellino & Gregg Field, engineers/mixers"
653,Best Traditional Blues Album,Porcupine Meat,Bobby Rush,"Scott Billington, producer; Steve Reynolds, engineer/mixer"
654,Best Contemporary Blues Album,The Last Days Of Oakland,Fantastic Negrito,"Fantastic Negrito, producer; Migui Maloles, Jabari Tawiah & Matt Winegar, engineers/mixers"
655,Best Folk Album,Undercurrent,Sarah Jarosz,"Sarah Jarosz & Gary Paczosa, producers; Shani Gandhi & Gary Paczosa, engineers/mixers"
656,Best Regional Roots Music Album,E Walea,Kalani Pe'a,"Allan B. Cool, Kamakoa Lindsey-Asing & Dave Tucciarone, producers; Kamakoa Lindsey-Asing & Dave Tucciarone, engineers/mixers"
657,Best Reggae Album,Ziggy Marley,Ziggy Marley,"Ziggy Marley, producer; Carlos de la Garza, engineer/mixer"
658,Best World Music Album,Sing Me Home,Yo-Yo Ma & The Silk Road Ensemble,"Kevin Killen, producer; Jody Elff & Kevin Killen, engineers/mixers"
659,Best Children's Album,Infinity Plus One,Secret Agent 23 Skidoo,"Secret Agent 23 Skidoo, producer; Julian Dreyer & Spencer Williams, engineers/mixers"
660,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)","In Such Good Company: Eleven Years Of Laughter, Mayhem, And Fun In The Sandbox",Carol Burnett,"Aaron Blank, producer; Dominic Camardella, engineer/mixer"
661,Best Comedy Album,Talking For Clapping,Patton Oswalt,"Matt Belknap & Ryan McManemin, producers"
662,Best Musical Theater Album,The Color Purple,,"Danielle Brooks, Cynthia Erivo & Jennifer Hudson, principal soloists; Stephen Bray, Van Dean, Frank Filipetti, Roy Furman, Joan Raffe, Scott Sanders & Jhett Tolentino, producers; Frank Filipetti, engineer/mixer (New Broadway Cast)"
663,Best Compilation Soundtrack For Visual Media,Miles Ahead,(Miles Davis) & Various Artists,"Steve Berkowitz, Don Cheadle & Robert Glasper, compilation producers; Ed Gerrard, music supervisor"
664,Best Score Soundtrack For Visual Media,Star Wars: The Force Awakens,,"John Williams, composer; John Williams, producer; Shawn Murphy, engineer/mixer (John Williams)"
665,Best Song Written For Visual Media,Can't Stop The Feeling!,"Max Martin, Shellback & Justin Timberlake, songwriters (Justin Timberlake, Anna Kendrick, Gwen Stefani, James Corden, Zooey Deschanel, Walt Dohrn, Ron Funches, Caroline Hjelt, Aino Jawo, Christopher Mintz-Plasse & Kunal Nayyar)",
666,Best Instrumental Composition,Spoken At Midnight,,"Ted Nash, composer (Ted Nash Big Band)"
667,"Best Arrangement, Instrumental or A Cappella",You And I,,"Jacob Collier, arranger (Jacob Collier)"
668,"Best Arrangement, Instruments and Vocals",Flintstones,,"Jacob Collier, arranger (Jacob Collier)"
669,Best Recording Package,Blackstar,,"Jonathan Barnbrook, art director (David Bowie)"
670,Best Boxed Or Special Limited Edition Package,Edith Piaf 1915-2015,,"Gérard Lo Monaco, art director (Edith Piaf)"
671,Best Album Notes,Sissle And Blake Sing Shuffle Along,,"Ken Bloom & Richard Carlin, album notes writers (Eubie Blake & Noble Sissle)"
672,Best Historical Album,"The Cutting Edge 1965-1966: The Bootleg Series, Vol.12 (Collector's Edition)",,"Steve Berkowitz & Jeff Rosen, compilation producers; Mark Wilder, mastering engineer (Bob Dylan)"
673,"Best Engineered Album, Non-Classical",Blackstar,,"David Bowie, Tom Elmhirst, Kevin Killen & Tony Visconti, engineers; Joe LaPorta, mastering engineer (David Bowie)"
674,"Producer Of The Year, Non-Classical",Greg Kurstin,,
675,Best Remixed Recording,Tearing Me Up (RAC Remix),,"André Allen Anjos, remixer (Bob Moses)"
676,Best Surround Sound Album,"Dutilleux: Sur Le Même Accord; Les Citations; Mystère De L'instant & Timbres, Espace, Mouvement",,"Alexander Lipay & Dmitriy Lipay, surround mix engineers; Dmitriy Lipay, surround mastering engineer; Dmitriy Lipay, surround producer (Ludovic Morlot & Seattle Symphony)"
677,"Best Engineered Album, Classical",Corigliano: The Ghosts Of Versailles,,"Mark Donahue, Fred Vogler & David L Williams, engineers (James Conlon, Guanqun Yu, Joshua Guerrero, Patricia Racette, Christopher Maltman, Lucy Schaufer, Lucas Meachem, LA Opera Chorus & Orchestra)"
678,"Producer Of The Year, Classical",David Frost,,
679,Best Orchestral Performance,"Shostakovich: Under Stalin's Shadow - Symphonies Nos. 5, 8 & 9",,"Andris Nelsons, conductor; Shawn Murphy, producer; Nick Squire, engineer (Boston Symphony Orchestra)"
680,Best Opera Recording,Corigliano: The Ghosts Of Versailles,,"James Conlon, conductor; Blanton Alspaugh, producer; Joshua Guerrero, Christopher Maltman, Lucas Meachem, Patricia Racette, Lucy Schaufer & Guanqun Yu, soloists; Mark Donahue, Fred Vogler & David L Williams, engineers (LA Opera Chorus; LA Opera Orchestra)"
681,Best Choral Performance,"Penderecki Conducts Penderecki, Volume 1",,"Krzysztof Penderecki, conductor (Nikolay Didenko, Agnieszka Rehlis & Johanna Rusanen; Warsaw Philharmonic Choir; Warsaw Philharmonic Orchestra)"
682,Best Chamber Music/Small Ensemble Performance,Steve Reich,,"Jesse Lewis, producer; Third Coast Percussion (Sean Connors, Robert Dillon, Peter Martin & David Skidmore), ensembles; Dan Nichols, engineer"
683,Best Classical Instrumental Solo,Daugherty: Tales Of Hemingway,,"Zuill Bailey; Giancarlo Guerrero, conductor (Nashville Symphony)"
684,Best Classical Solo Vocal Album,Schumann & Berg,,"Dorothea Röschmann, soloist; Everett Porter, producer"
685,Best Classical Solo Vocal Album,Shakespeare Songs,,"Ian Bostridge, soloist; John Fraser, producer; Philip Siney, engineer"
686,Best Classical Compendium,Daugherty: Tales Of Hemingway; American Gothic; Once Upon A Castle,,"Giancarlo Guerrero, conductor; Tim Handley, producer; Gary Call, engineer (Giancarlo Guerrero)"
687,Best Contemporary Classical Composition,Daugherty: Tales Of Hemingway,,"Michael Daugherty, composer"
688,Best Music Video,Formation,Beyoncé,"Melina Matsoukas, video director; Nathan Scherrer, video producer"
689,Best Music Film,The Beatles: Eight Days A Week The Touring Years,The Beatles,"Ron Howard, video director; Brian Grazer, Ron Howard, Scott Pascucci & Nigel Sinclair, video producers"
690,Record Of The Year,Uptown Funk,Mark Ronson Featuring Bruno Mars,"Jeff Bhasker, Philip Lawrence, Bruno Mars & Mark Ronson, producers; Josh Blair, Riccardo Damian, Serban Ghenea, Wayne Gordon, John Hanes, Inaam Haq, Boo Mitchell, Charles Moniz & Mark Ronson, engineers/mixers; Tom Coyne, mastering engineer"
691,Album Of The Year,1989,Taylor Swift,"Jack Antonoff, Nathan Chapman, Imogen Heap, Max Martin, Mattman & Robin, Ali Payami, Shellback, Taylor Swift, Ryan Tedder & Noel Zancanella, producers; Jack Antonoff, Mattias Bylund, Smith Carlson, Nathan Chapman, Serban Ghenea, John Hanes, Imogen Heap, Sam Holland, Michael Ilbert, Brendan Morawski, Laura Sisk & Ryan Tedder, engineers/mixers; Tom Coyne, mastering engineer"
692,Song Of The Year,Thinking Out Loud,,"Ed Sheeran & Amy Wadge, songwriters (Ed Sheeran)"
693,Best New Artist,Meghan Trainor,,
694,Best Pop Solo Performance,Thinking Out Loud,Ed Sheeran,
695,Best Pop Duo/Group Performance,Uptown Funk,Mark Ronson Featuring Bruno Mars,
696,Best Traditional Pop Vocal Album,The Silver Lining: The Songs Of Jerome Kern,Tony Bennett & Bill Charlap,"Dae Bennett & Bill Charlap, producers"
697,Best Pop Vocal Album,1989,Taylor Swift,"Max Martin & Shellback, producers"
698,Best Dance Recording,Where Are Ü Now,Skrillex And Diplo With Justin Bieber,"Sonny Moore & Thomas Pentz, producers; Sonny Moore & Thomas Pentz, mixers"
699,Best Dance/Electronic Album,Skrillex And Diplo Present Jack Ü,Skrillex And Diplo,"Diplo & Skrillex, producers"
700,Best Contemporary Instrumental Album,Sylva,Snarky Puppy & Metropole Orkest,
701,Best Rock Performance,Don't Wanna Fight,Alabama Shakes,
702,Best Metal Performance,Cirice,Ghost,
703,Best Rock Song,Don't Wanna Fight,,"Alabama Shakes (Zac Cockrell, Heath Fogg, Brittany Howard & Steve Johnson), songwriters (Alabama Shakes)"
704,Best Rock Album,Drones,Muse,"Robert John ""Mutt"" Lange & Muse (Matthew Bellamy, Dominic Howard & Chris Wolstenholme), producers"
705,Best Alternative Music Album,Sound & Color,Alabama Shakes,"Alabama Shakes (Zac Cockrell, Heath Fogg, Brittany Howard & Steve Johnson) & Blake Mills, producers"
706,Best R&B Performance,Earned It (Fifty Shades Of Grey),The Weeknd,
707,Best Traditional R&B Performance,Little Ghetto Boy,Lalah Hathaway,
708,Best R&B Song,Really Love,,"D'Angelo, Gina Figueroa & Kendra Foster, songwriters (D'Angelo And The Vanguard)"
709,Best Urban Contemporary Album,Beauty Behind The Madness,The Weeknd,"Carlo ""Illangelo"" Montagnese & The Weeknd, producers"
710,Best R&B Album,Black Messiah,D'Angelo And The Vanguard,
711,Best Rap Performance,Alright,Kendrick Lamar,
712,Best Rap/Sung Collaboration,These Walls,"Kendrick Lamar Featuring Bilal, Anna Wise & Thundercat",
713,Best Rap Song,Alright,,"Kendrick Duckworth, Kawan Prather, Mark Anthony Spears & Pharrell Williams, songwriters (Kendrick Lamar)"
714,Best Rap Album,To Pimp A Butterfly,Kendrick Lamar,
715,Best Country Solo Performance,Traveller,Chris Stapleton,
716,Best Country Duo/Group Performance,Girl Crush,Little Big Town,
717,Best Country Song,Girl Crush,,"Hillary Lindsey, Lori McKenna & Liz Rose, songwriters (Little Big Town)"
718,Best Country Album,Traveller,Chris Stapleton,"Dave Cobb & Chris Stapleton, producers"
719,Best New Age Album,Grace,Paul Avgerinos,"Paul Avgerinos, producer"
720,Best Improvised Jazz Solo,Cherokee,,"Christian McBride, soloist"
721,Best Jazz Vocal Album,For One To Love,Cécile McLorin Salvant,"Al Pryor, producer"
722,Best Jazz Instrumental Album,Past Present,John Scofield,"John Scofield, producer"
723,Best Large Jazz Ensemble Album,The Thompson Fields,Maria Schneider Orchestra,"Ryan Truesdell, producer"
724,Best Latin Jazz Album,Made In Brazil,Eliane Elias,"Eliane Elias, Marc Johnson & Steve Rodby, producers"
725,Best Gospel Performance/Song,Wanna Be Happy?,,"Kirk Franklin; Kirk Franklin, songwriter"
726,Best Contemporary Christian Music Performance/Song,Holy Spirit,,Francesca Battistelli
727,Best Gospel Album,Covered: Alive In Asia [Live],Israel & NewBreed,"Chris Baker, Kevin Camp & Aaron Lindsey, producers; Danny Duncan & Henry Seeley, engineers/mixers"
728,Best Contemporary Christian Music Album,This Is Not A Test,Tobymac,"David Garcia, Christopher Stevens & Tobymac, producers; Bryan Fowler, engineer/mixer"
729,Best Roots Gospel Album,Still Rockin' My Soul,The Fairfield Four,"Lee Olsen & The Fairfield Four (Levert Allison, Bobbye Sherrell, Larrice Byrd, Sr. & Joe Thompson), producers; Brandon Perdue, engineer/mixer"
730,Best Latin Pop Album,A Quien Quiera Escuchar  (Deluxe Edition),Ricky Martin,"Julio Reyes Copello, producer; Luis Barrera Jr., Julio Reyes Copello, Javier Garza, Ricardo López Laliinde, Enrique Larreal & Carlos Fernando Lopez, engineers"
731,"Best Latin Rock, Urban or Alternative Album",Hasta La Raíz,Natalia Lafourcade,"Natalia Lafourcade, producer; Andrés Borda, Eduardo Del Águila, Alan Ortiz Grande, Demián Nava, Alan Saucedo & Sebastián Schunt, engineers"
732,"Best Latin Rock, Urban or Alternative Album",Dale,Pitbull,"José C. Garcia & Jorge Gomez, producers; Al Burna, engineer"
733,Best Regional Mexican Music Album (Including Tejano),Realidades - Deluxe Edition,Los Tigres Del Norte,"Los Tigres Del Norte, producer"
734,Best Tropical Latin Album,Son De Panamá,Rubén Blades Con Roberto Delgado & Orquesta,"Robert Delgado, producer; Pablo Governatori & Ignacio ""Nacho"" Molina, engineers"
735,Best American Roots Performance,See That My Grave Is Kept Clean,Mavis Staples,
736,Best American Roots Song,24 Frames,,"Jason Isbell, songwriter (Jason Isbell)"
737,Best Americana Album,Something More Than Free,Jason Isbell,"Dave Cobb, producer"
738,Best Bluegrass Album,The Muscle Shoals Recordings,The Steeldrivers,"The Steeldrivers, producer"
739,Best Blues Album,Born To Play Guitar,Buddy Guy,"Tom Hambridge, producer"
740,Best Folk Album,Béla Fleck And Abigail Washburn,Béla Fleck & Abigail Washburn,"Béla Fleck & Abigail Washburn, producers; Richard Battaglia & Béla Fleck, engineers"
741,Best Regional Roots Music Album,Go Go Juice,Jon Cleary,"Jon Cleary & John Porter, producers; Tony Daigle, Mike Dorsey & John Porter, engineers"
742,Best Reggae Album,Strictly Roots,Morgan Heritage,"Morgan Heritage, producer"
743,Best World Music Album,Sings,Angelique Kidjo,"Jean Hébrail & Angelique Kidjo, producers"
744,Best Children's Album,Home,Tim Kubart,"Dominic Fallacaro, producer"
745,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",A Full Life: Reflections at Ninety,Jimmy Carter,"Elisa Shokoff, producer"
746,Best Comedy Album,Live At Madison Square Garden,Louis C.K.,"Dave Becky, Mike Berkowitz & M. Blair Breard, producers"
747,Best Musical Theater Album,Hamilton,,"Daveed Diggs, Renée Elise Goldsberry, Jonathan Groff, Christopher Jackson, Jasmine Cephas Jones, Leslie Odom, Jr., Lin-Manuel Miranda, Okieriete Onaodowan, Anthony Ramos & Phillipa Soo, principal soloists; Lin-Manuel Miranda, composer & lyricist; Alex Lacamoire, Lin-Manuel Miranda, Bill Sherman, Ahmir Thompson & Tarik Trotter, producers; Tim Latham & Derik Lee, engineers (Original Broadway Cast)"
748,Best Compilation Soundtrack For Visual Media,Glen Campbell: I'll Be Me,(Various Artists),"Julian Raymond, compilation producer; Jeff Pollack, music supervisor"
749,Best Score Soundtrack For Visual Media,Birdman,,"Antonio Sanchez, composer; Alejandro González Iñárritu & Antonio Sanchez, producers (Antonio Sanchez)"
750,Best Song Written For Visual Media,Glory,"Lonnie Lynn, Che Smith & John Stephens, songwriters (Common & John Legend)",
751,Best Instrumental Composition,The Afro Latin Jazz Suite,,"Arturo O'Farrill, composer (Arturo O'Farrill & The Afro Latin Jazz Orchestra Featuring Rudresh Mahanthappa)"
752,"Best Arrangement, Instrumental or A Cappella",Dance Of The Sugar Plum Fairy,,"Ben Bram & Pentatonix (Mitch Grassi, Scott Hoying, Avi Kaplan, Kirstin Maldonado & Kevin Olusola), arrangers (Pentatonix)"
753,"Best Arrangement, Instruments and Vocals",Sue (Or In A Season Of Crime),,"Maria Schneider, arranger (David Bowie)"
754,Best Recording Package,Still The King: Celebrating The Music Of Bob Wills And His Texas Playboys,,"Sarah Dodds, Shauna Dodds & Dick Reeves, art directors (Asleep At The Wheel)"
755,Best Boxed Or Special Limited Edition Package,"The Rise & Fall Of Paramount Records, Volume Two (1928-32)",,"Susan Archie, Dean Blackwood & Jack White, art directors (Various Artists)"
756,Best Album Notes,"Love Has Many Faces: A Quartet, A Ballet, Waiting To Be Danced",,"Joni Mitchell, album notes writer (Joni Mitchell)"
757,Best Historical Album,The Basement Tapes Complete: The Bootleg Series Vol. 11,,"Steve Berkowitz, Jan Haust & Jeff Rosen, compilation producers; Peter J. Moore & Mark Wilder, mastering engineers (Bob Dylan And The Band)"
758,"Best Engineered Album, Non-Classical",Sound & Color,,"Shawn Everett, engineer; Bob Ludwig, mastering engineer (Alabama Shakes)"
759,"Producer Of The Year, Non-Classical",Jeff Bhasker,,
760,Best Remixed Recording,Uptown Funk (Dave Audé Remix),,"Dave Audé, remixer (Mark Ronson Featuring Bruno Mars)"
761,Best Surround Sound Album,Amused To Death,,"James Guthrie, surround mix engineer; James Guthrie & Joel Plante, surround mastering engineers; James Guthrie, surround producer (Roger Waters)"
762,"Best Engineered Album, Classical",Ask Your Mama,,"Leslie Ann Jones, John Kilgore, Nora Kroll-Rosenbaum & Justin Merrill, engineers; Patricia Sullivan, mastering engineer (George Manahan & San Francisco Ballet Orchestra)"
763,"Producer Of The Year, Classical",Judith Sherman,,
764,Best Orchestral Performance,Shostakovich: Under Stalin's Shadow - Symphony No. 10,,"Andris Nelsons, conductor; Shawn Murphy, producer; Nick Squire, engineer (Boston Symphony Orchestra)"
765,Best Opera Recording,Ravel: L'Enfant Et Les Sortilèges; Shéhérazade,,"Seiji Ozawa, conductor; Dominic Fyfe, producer; Isabel Leonard, soloist; Jonathan Stokes, engineer (SKF Matsumoto Children's Chorus & SKF Matsumoto Chorus; Saito Kinen Orchestra)"
766,Best Choral Performance,Rachmaninoff: All-Night Vigil,,"Charles Bruffy, conductor; Blanton Alspaugh, producer; Byeong Joon Hwang & John Newton, engineers (Paul Davidson, Frank Fleschner, Toby Vaughn Kidd, Bryan Pinkall, Julia Scozzafava, Bryan Taylor & Joseph Warner; Kansas City Chorale & Phoenix Chorale)"
767,Best Chamber Music/Small Ensemble Performance,Filament,,"Bryce Dessner, producer; Jonathan Low, engineer"
768,Best Classical Instrumental Solo,"Dutilleux: Violin Concerto, L'Arbre Des Songes",,"Augustin Hadelich; Ludovic Morlot, conductor (Seattle Symphony)"
769,Best Classical Solo Vocal Album,Joyce & Tony - Live From Wigmore Hall,,"Joyce DiDonato, soloist; Stephen Johns, producer; Jonathan Allen, engineer"
770,Best Classical Compendium,Paulus: Three Places Of Enlightenment; Veil Of Tears & Grand Concerto,,"Giancarlo Guerrero, conductor; Tim Handley, producer; Gary Call, engineer (Giancarlo Guerrero)"
771,Best Contemporary Classical Composition,Paulus: Prayers & Remembrances,,"Stephen Paulus, composer"
772,Best Music Video,Bad Blood,Taylor Swift Featuring Kendrick Lamar,"Joseph Kahn, video director; Ron Mohrhoff, video producer"
773,Best Music Film,Amy,Amy Winehouse,"Asif Kapadia, video director; James Gay-Rees, video producer"
774,Record Of The Year,Stay With Me (Darkchild Version),Sam Smith,"Steve Fitzmaurice, Rodney Jerkins & Jimmy Napes, producers; Matthew Champlin, Steve Fitzmaurice, Jimmy Napes & Steve Price, engineers/mixers; Tom Coyne, mastering engineer"
775,Album Of The Year,Morning Phase,Beck,"Beck Hansen, producer; Drew Brown, Tom Elmhirst, David Greenbaum, Cole Marsden Greif-Neill, Florian Lagatta, Robbie Nelson, Darrell Thorp, Cassidy Turbin & Joe Visciano, engineers/mixers; Bob Ludwig, mastering engineer"
776,Song Of The Year,Stay With Me (Darkchild Version),,"James Napier, William Phillips & Sam Smith, songwriters (Sam Smith)"
