,category,nominee,artist,workers
3795,Best Ethnic Or Traditional Recording,Rare Blues,(Various Artists),
3796,Best Latin Recording,La Onda Va Bien,Cal Tjader,
3797,Best Recording For Children,In Harmony/A Sesame Street Record,(Various Artists),
3798,Best Comedy Recording,No Respect,Rodney Dangerfield,
3799,"Best Spoken Word, Documentary Or Drama","Gertrude Stein, Gertrude Stein, Gertrude Stein",Pat Carroll,
3800,Best Instrumental Composition,The Empire Strikes Back,,"John Williams, composer (John Williams)"
3801,Best Album Of Original Score Written For A Motion Picture Or A Television Special,The Empire Strikes Back,,"John Williams, composer (John Williams)"
3802,Best Cast Show Album,Evita - Premier American Recording,,"Andrew Lloyd Webber, composer; Tim Rice, lyricist; Andrew Lloyd Webber & Tim Rice, producers (Various Artists)"
3803,"Best Jazz Vocal Performance, Female",A Perfect Match - Ella And Basie,Ella Fitzgerald,
3804,"Best Jazz Vocal Performance, Male",Moody's Mood,George Benson,
3805,"Best Jazz Instrumental Performance, Soloist",I Will Say Goodbye,,"Bill Evans, soloist"
3806,"Best Jazz Instrumental Performance, Group",We Will Meet Again,Bill Evans,
3807,"Best Jazz Instrumental Performance, Big Band",On The Road,Count Basie,
3808,Best Instrumental Arrangement,"Dinorah, Dinorah",,"Jerry Hey & Quincy Jones, arrangers (George Benson)"
3809,Best Arrangement Accompanying Vocalist(s),Sailing,,"Christopher Cross & Michael Omartian, arrangers (Christopher Cross)"
3810,Best Arrangement For Voices,Birdland,,"Janis Siegel, arranger (Manhattan Transfer)"
3811,Best Album Package,Against The Wind,,"Roy Kohara, art director (Bob Seger & The Silver Bullet Band)"
3812,Best Album Notes,"Trilogy: Past, Present And Future",,"David McClintick, album notes writer (Frank Sinatra)"
3813,Best Historical Reissue Album,Segovia - The EMI Recordings 1927-39,,(Andres Segovia)
3814,Best Engineered Recording - Non-Classical,The Wall,,"James Guthrie, engineer (Pink Floyd)"
3815,Producer Of The Year (Non-Classical),Phil Ramone,,
3816,Best Classical Album,Berg: Lulu (Complete Version),,"Pierre Boulez, artist; Gunther Breest & Michael Horwath, producers"
3817,Best Classical Orchestral Recording,Bruckner: Symphony No. 6 In A,,"Georg Solti, conductor (Chicago Symphony Orchestra)"
3818,Best Opera Recording,Berg: Lulu (Complete Version),,"Pierre Boulez, conductor; Gunther Breest & Michael Horwath, producers (Orchestre De L'Opera De Paris)"
3819,"Best Choral Performance, Classical (Other Than Opera)",Mozart: Requiem,,"Norbert Balatsch, chorus master; Carlo Maria Giulini, conductor (Philharmonia Chorus; Philharmonia Orchestra)"
3820,Best Chamber Music Performance,Play Music For Two Violins (Moszkowski: Suite For Two Violins/Shostakovich: Duets/Prokofiev: Sonata For Two Violins),,"Itzhak Perlman & Pinchas Zukerman, artists"
3821,Best Classical Performance- Instrumental Soloist Or Soloists (With Orchestra),Berg: Violin Concerto/Stravinsky: Violin Concerto In D,,"Itzhak Perlman, artist (Boston Symphony Orchestra)"
3822,Best Classical Performance - Instrumental Soloist OR Soloists (With Orchestra),Brahms: Violin And Cello Concerto In A Minor (Double Concerto),,"Itzhak Perlman & Mstislav Rostropovich, artists (Concertgebouw Orchestra)"
3823,Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),The Spanish Album,,"Itzhak Perlman, artist"
3824,Best Classical Vocal Soloist Performance,"Prima Donna, Vol. 5 - Great Soprano Arias From Handel To Britten",,(Henry Lewis; Philharmonia Orchestra)
3825,"Best Engineered Recording, Classical",Berg: Lulu (Complete Version),,"Karl-August Naegler, engineer (Pierre Boulez, conductor)"
3826,Classical Producer Of The Year,Robert Woods,,
3827,Record Of The Year,What A Fool Believes,The Doobie Brothers,"Ted Templeman, producer"
3828,Album Of The Year,52nd Street,Billy Joel,"Phil Ramone, producer"
3829,Song Of The Year,What A Fool Believes,,"Kenny Loggins & Michael McDonald, songwriters (The Doobie Brothers)"
3830,Best New Artist,Rickie Lee Jones,Rickie Lee Jones,
3831,"Best Pop Vocal Performance, Female",I'll Never Love This Way Again,Dionne Warwick,
3832,"Best Pop Vocal Performance, Male",52nd Street,Billy Joel,
