title_spoty,all_artists,popularity,index
Falling For You,Weezer,45,489
The Remedy (I Won't Worry),Jason Mraz,58,490
In Pieces,Linkin Park,46,491
That's Enough,Ray Charles,23,492
Shiver (Jo Whiley Lunchtime Social),Coldplay,34,493
My Girl,Michael Jackson,34,494
Dry Lightning,Bruce Springsteen,27,495
Do Da Da,Green Day,31,496
Happiness Is A Warm Gun - The Gun Mix,U2,17,497
The Antonia Graza,John Frizzell,2,498
Foreword,Linkin Park,1,499
Coming Down Again - Remastered,The Rolling Stones,32,500
Who's Gonna Ride Your Wild Horses,U2,51,501
We Will Rock You - Remastered 2011,Queen,76,502
Up Again,Michael Jackson,21,503
Ashamed,Muse,29,504
Blood on the Dance Floor,Michael Jackson,57,505
Indian Girl - Remastered,The Rolling Stones,31,506
Map of the Problematique,Muse,56,507
One More Time,Daft Punk,75,508
You Do the Math,Brad Paisley,22,509
Whenever You Call,Mariah Carey,42,510
History,Michael Jackson,42,511
I Like Love More,"Harry Connick, Jr.",1,512
Para Qué La Vida,Enrique Iglesias,47,513
Curtains Up - Skit,Eminem,15,514
It Was Jesus,Johnny Cash,15,515
Breathe,U2,29,516
Dr. West - Skit,Eminem,38,517
California Callin',Enrique Iglesias,26,518
Everything,Michael Bublé,68,519
Strawberry Swing,Coldplay,54,520
Got To Be There,Michael Jackson,46,521
Ruby Tuesday,The Rolling Stones,61,522
Take a Bow - Live from Wembley Stadium,Muse,25,523
Slave,Weezer,30,524
Fall Together,Weezer,29,525
The Uncloudy Day,Brad Paisley,19,526
I'm Shady,Eminem,50,527
You Be My Baby,Ray Charles,31,528
Jackson Cage,Bruce Springsteen,37,529
Underwater,John Frizzell,1,530
Rockin' Robin,Michael Jackson,51,531
Baby Wont You Please Come Home,Ray Charles,9,532
New Breed (The Boo-Ga-Loo) - Pt. 2,James Brown,2,533
Now I'm Here - Remastered 2011,Queen,54,534
The Frayed Ends Of Sanity,Metallica,43,535
Too Long,Daft Punk,52,536
Two Feet of Topsoil,Brad Paisley,25,537
Blistered,Johnny Cash,18,538
La nueva belleza (Single Version),Jason Mraz,0,539
The Fever - Studio Outtake - 1973,Bruce Springsteen,34,540
Rawe Wasdi Jhok Fareedan Dee,Nusrat Fateh Ali Khan,0,541
Two People Fell in Love,Brad Paisley,37,542
Make It Happen,Mariah Carey,44,543
Silent Night,Johnny Cash,8,544
Sweetest Thing,U2,64,545
Superfly Sister,Michael Jackson,36,546
Diggin' This,Nickelback,26,547
Escape,Enrique Iglesias,56,548
Fury,Muse,45,549
Last Ride In,Green Day,38,550
Rain Man,Eminem,52,551
Woh Hata Rahe Hain Pardah,Nusrat Fateh Ali Khan,4,552
Beast Of Burden - Remastered 1994,The Rolling Stones,71,553
Breakthru - Remastered 2011,Queen,56,554
Discotheque,U2,46,555
With A Child's Heart,Michael Jackson,25,556
The Girl Is Mine (with Paul McCartney),Michael Jackson,59,557
Until The End Of The World,U2,50,558
La voix du bon Dieu,Céline Dion,16,559
Escape-Ism - Pt. 1,James Brown,15,560
Death And Destruction,Weezer,31,561
Con-science,Muse,26,562
Jadon Ali Ali Vird Pukaran,Nusrat Fateh Ali Khan,0,563
Not Leavin' Yet,Nickelback,25,564
Sunburn,Muse,58,565
Alone In Love,Mariah Carey,35,566
Turn Me Round,Weezer,10,567
Common Pleasure,Jason Mraz,19,568
Ring My Bells,Enrique Iglesias,47,569
Femme comme chacune,Céline Dion,20,570
Tumhain Dillagi Bhool Jani Pare Gee - edited,Nusrat Fateh Ali Khan,0,571
86,Green Day,42,572
The Impossible,Mariah Carey,24,573
Love Of My Life - Remastered 2011,Queen,70,574
I Got Stripes,Johnny Cash,45,575
Longview,Green Day,64,576
"Broken, Beat & Scarred",Metallica,46,577
I Can't Help It,Michael Jackson,56,578
The Graza Explodes,John Frizzell,1,579
You Got Me Rocking,The Rolling Stones,44,580
The Big Payback - Single B-side - 1982,Bruce Springsteen,16,581
Basket Case,Green Day,78,582
Recess,Muse,31,583
"Spirit In The Night - Live at the Hammersmith Odeon, London, UK - November 1975",Bruce Springsteen,23,584
Always Suffering - Remastered,The Rolling Stones,26,585
Aap Baithe Hain Balin Peh Meri,Nusrat Fateh Ali Khan,8,586
Used Cars,Bruce Springsteen,34,587
Everybody's Somebody's Fool,Michael Jackson,25,588
Dance (pt 1) - Remastered,The Rolling Stones,39,589
