,nominee,artist,prizes
1150,I Gotta Feeling,The Black Eyed Peas,1
1151,I Heard You Twice The First Time,Branford Marsalis,1
1152,I Honestly Love You,Olivia Newton-John,2
1153,I Knew You Were Waiting (For Me),Aretha Franklin & George Michael,1
1154,I Know A Ghost,Crowder,1
1155,I Know A Place,Petula Clark,1
1156,I Know Who Holds Tomorrow,Alison Krauss & The Cox Family,1
1157,I Left My Heart In San Francisco,Tony Bennett,2
1158,I Love Rainy Days,Daniel Tashian,1
1159,I Love To Polka,Jimmy Sturr,1
1160,I Love To Tell The Story - 25 Timeless Hymns,Andy Griffith,1
1161,I Remember Miles,Shirley Horn,1
1162,I Remember Warsaw,Jimmy Sturr & His Orchestra,1
1163,I Run To You,Lady Antebellum,1
1164,I See The Light (From Tangled),"Alan Menken & Glenn Slater, songwriters (Mandy Moore & Zachary Levi)",1
1165,I Started Out As A Child,Bill Cosby,1
1166,I Still Believe In You,Vince Gill,1
1167,I Still Have That Other Girl,Elvis Costello & Burt Bacharach,1
1168,I Surrender All,Deniece Williams,1
1169,I Swear,All-4-One,1
1170,I Told You So,Carrie Underwood & Randy Travis,1
1171,I Try,Macy Gray,1
1172,I Used To Know Her,H.E.R.,1
1173,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1
1174,I Will Always Love You,Whitney Houston,2
1175,I Will Remember You,Sarah McLachlan,1
1176,I Will Survive,Gloria Gaynor,1
1177,I Wish,Stevie Wonder,1
1178,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,1
1179,I'll Be Good To You,Ray Charles & Chaka Khan,1
1180,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,1
1181,I'll Be There For You/You're All I Need To Get By,Method Man Featuring Mary J. Blige,1
1182,I'll Be Thinking Of You,Andrae Crouch,1
1183,I'll Lead You Home,Michael W. Smith,1
1184,I'll Make Love To You,Boyz II Men,1
1185,I'll Never Fall In Love Again,Dionne Warwick,1
1186,I'll Never Love This Way Again,Dionne Warwick,1
1187,I'll Rise Again,Al Green,1
1188,I'm Fat,Weird Al Yankovic,1
1189,I'm Following You,Blackwood Brothers,1
1190,I'm Here,Clifton Chenier & His Red Hot Louisiana Band,1
1191,I'm In The Mood,Bonnie Raitt & John Lee Hooker,1
1192,I'm Like A Bird,Nelly Furtado,1
1193,I'm On My Way,Rhiannon Giddens with Francesco Turrisi,1
1194,I'm Ready,Muddy Waters,1
1195,I'm So Glad I'm Standing Here Today,Barbara Mandrell & Bobby Jones,1
1196,I've Got That Old Feeling,Alison Krauss,1
1197,I've Just Seen Jesus,Sandi Patti & Larnelle Harris,1
1198,"I,I",Bon Iver,2
1199,I.O.U.,Lee Greenwood,1
1200,I.V. Catatonia: 20 Years As A Two-Time Cancer Survivor,Eric Alexandrakis,1
1201,II,Boyz II Men,1
1202,Icky Thump,The White Stripes,2
1203,If He Walked Into My Life,Eydie Gorme,1
1204,If I Ain't Got You,Alicia Keys,1
1205,"If I Didn't Have You (From Monsters, Inc.)","Randy Newman, songwriter (Randy Newman)",1
1206,If I Ever Lose My Faith In You,Sting,1
1207,If I Had A Hammer,"Peter, Paul And Mary",2
1208,If I Left The Zoo,Jars Of Clay,1
1209,If I Were A Carpenter,Johnny Cash And June Carter,1
1210,If It Makes You Happy,Sheryl Crow,1
1211,If You Ask Me (And Of Course You Won't),Betty White,1
1212,If You Can't Stand The Heat,Frank Solivan & Dirty Kitchen,1
1213,If You Ever Have Forever In Mind,Vince Gill,1
1214,If You Leave Me Now,Chicago,1
1215,Igor,"Tyler, The Creator",1
1216,Ikena,Tia Carrere & Daniel Ho,1
1217,Ilembe: Honoring Shaka Zulu,Ladysmith Black Mambazo,1
1218,Illuminations,"McCoy Tyner With Gary Bartz, Terence Blanchard, Christian McBride & Lewis Nash",1
1219,Images,Michel Legrand & Phil Woods,1
1220,Imaginaries,Quetzal,1
1221,Imaginary Day,Pat Metheny Group,1
1222,Imagine,"Herbie Hancock, Pink, India.Arie, Seal, Konono No 1, Jeff Beck & Oumou Sangare",1
1223,Impressions,Chris Botti,1
1224,In Another's Eyes,Trisha Yearwood & Garth Brooks,1
1225,In Gospel Country,Porter Wagoner & The Blackwood Brothers,1
1226,In Harmony 2,(Various Artists),1
1227,In Harmony/A Sesame Street Record,(Various Artists),1
1228,In My Dreams,Emmylou Harris,1
1229,In My Place,Coldplay,1
1230,In My Songs,Gerald Levert,1
1231,In Rainbows,Radiohead,1
1232,In Square Circle,Stevie Wonder,1
1233,In Step,Stevie Ray Vaughan & Double Trouble,1
1234,"In Such Good Company: Eleven Years Of Laughter, Mayhem, And Fun In The Sandbox",Carol Burnett,1
1235,In The End,The Cranberries,1
1236,In The Ghetto,James Cleveland & The Southern California Community Choir,1
1237,In The Heart Of The Moon,Ali Farka Touré & Toumani Diabaté,1
1238,In The Key Of The Universe,Joey DeFrancesco,1
1239,In The Lonely Hour,Sam Smith,1
1240,In The Moment - Live In Concert,Dianne Reeves,1
1241,Indestructible,Flor De Toloache,1
1242,Indigo Girls,Indigo Girls,1
1243,Infinity,McCoy Tyner Trio & Michael Brecker,1
1244,Infinity Plus One,Secret Agent 23 Skidoo,1
1245,Innervisions,Stevie Wonder,1
1246,Inside,David Sanborn,1
1247,Inside Shelley Berman,Shelley Berman,1
1248,Instrumentals,Ricky Skaggs And Kentucky Thunder,1
1249,Intergalactic,Beastie Boys,1
1250,Interstate Gospel,Pistol Annies,1
1251,Interviews From The Class Of '55 Recording Sessions,"Johnny Cash, Carl Perkins, Jerry Lee Lewis, Roy Orbison, Sam Phillips, Rick Nelson & Chips Moman",1
1252,Intimamente,Intocable,1
1253,Into The Sun,Randy Brecker,1
1254,Into The West (From The Lord Of The Rings - The Return Of The King),"Annie Lennox, Howard Shore & Fran Walsh, songwriters (Annie Lennox)",1
1255,Introducing The Hardline According To Terence Trent D'arby,Terence Trent D'arby,1
1256,Invasion Of Privacy,Cardi B,1
1257,Irakere,Irakere,1
1258,Iron Man,Black Sabbath,1
1259,Is It Something I Said?,Richard Pryor,1
1260,Is That All There Is?,Peggy Lee,1
1261,Is This Love,Corinne Bailey Rae,1
1262,"Is You Is, Or Is You Ain't (My Baby)",B.B. King & Dr. John,1
1263,It Takes A Village,Hillary Rodham Clinton,1
1264,It Was A Very Good Year,Frank Sinatra,1
1265,It's Always Something,Gilda Radner,1
1266,It's Bad For Ya,George Carlin,1
1267,It's Not Right But It's Okay,Whitney Houston,1
1268,It's Too Late,Carole King,1
1269,It's Your Thing,Isley Brothers,1
1270,J Mood,Wynton Marsalis,1
1271,Jackson,Johnny Cash & June Carter,1
1272,Jagged Little Pill,Alanis Morissette,2
1273,Jagged Little Pill - Live,Alanis Morissette,1
1274,Jah Is Real,Burning Spear,1
1275,Jai Ho (From Slumdog Millionaire),"Gulzar, A.R. Rahman & Tanvi Shah, songwriters (A.R. Rahman, Sukhvinder Singh, Tanvi Shah, Mahalaxmi Iyer & Vijay Prakash)",1
1276,Jam Man,Chet Atkins,1
1277,Jamaican E.T.,"Lee ""Scratch"" Perry",1
1278,James Cleveland Live At Carnegie Hall,James Cleveland,1
1279,Jammin' In New York,George Carlin,1
1280,Janie's Got A Gun,Aerosmith,1
1281,Jason Crabb,Jason Crabb,1
1282,Java,Al Hirt,1
1283,Jazz From Hell,Frank Zappa,1
1284,Jazz Tango,Pablo Ziegler Trio,1
1285,Jeff Beck's Guitar Shop with Terry Bozzio & Tony Hymas,"Jeff Beck, Terry Bozzio & Tony Hymas",1
1286,Jennifer Hudson,Jennifer Hudson,1
1287,Jerome,Lizzo,1
1288,Jessica,The Allman Brothers Band,1
1289,Jessie's Girl,Rick Springfield,1
1290,Jesus,Le'Andria Johnson,1
1291,Jesus Children,Robert Glasper Experiment Featuring Lalah Hathaway & Malcolm-Jamal Warner,1
1292,Jesus Freak,dc Talk,1
1293,"Jesus, Take The Wheel",Carrie Underwood,1
1294,"Jesus, We Just Want To Thank You",The Bill Gaither Trio,1
1295,Jingle All The Way,Béla Fleck & The Flecktones,1
1296,Joanne (Where Do You Think You're Goin'?),Lady Gaga,1
1297,Joe Henderson Big Band,Joe Henderson Big Band,1
1298,John F. Kennedy - As We Remember Him,(John F. Kennedy),1
1299,Join The Band,Take 6,1
1300,Joined At The Hip,Pinetop Perkins & Willie 'Big Eyes' Smith,1
1301,Jolene,Pentatonix Featuring Dolly Parton,1
1302,Jonathan And Darlene Edwards In Paris,Jonathan & Darlene Edwards (Jo Stafford And Paul Weston),1
1303,Jonathan Livingston Seagull,Richard Harris,1
1304,Journey,McCoy Tyner Big Band,1
1305,João Voz E Violão,João Gilberto,1
1306,Judy At Carnegie Hall,Judy Garland,2
1307,"Julie Andrews' Collection Of Poems, Songs, And Lullabies",Julie Andrews & Emma Walton Hamilton,1
1308,Jump (For My Love),The Pointer Sisters,1
1309,Jump Jive An' Wail,The Brian Setzer Orchestra,1
1310,Juno,(Various Artists),1
1311,Juntos Para Siempre,Bebo Valdés And Chucho Valdés,1
1312,Just A Little Talk With Jesus,The Oak Ridge Boys,1
1313,Just Chillin',Norman Brown,1
1314,Just Like You,Keb' Mo',1
1315,Just The Way You Are,Billy Joel,1
1316,Just The Way You Are,Bruno Mars,1
1317,Just To See Her,Smokey Robinson,1
1318,Justified,Justin Timberlake,1
1319,Kalawai’anui,Amy Hānaiali’i,1
1320,Kalenda,Lost Bayou Ramblers,1
1321,Keep It Simple,Keb' Mo',1
1322,Keep On,Southern Avenue,1
1323,Keep On The Sunny Side,June Carter Cash,1
1324,Keep The Flame Burning,Debby Boone & Phil Driscoll,1
1325,Kennedy Center Homecoming,Bill & Gloria Gaither & Their Homecoming Friends,1
1326,Kid A,Radiohead,1
1327,Killer Diller Blues,Alabama Shakes,1
1328,Killing Me Softly With His Song,Fugees,1
1329,Killing Me Softly With His Song,Roberta Flack,2
1330,Killing The Blues,Robert Plant & Alison Krauss,1
1331,King Of The Road,Roger Miller,4
1332,King's Dead,"Kendrick Lamar, Jay Rock, Future & James Blake",1
1333,Kingfish,"Christone ""Kingfish"" Ingram",1
1334,Kish Kash,Basement Jaxx,1
1335,Kiss,Prince & The Revolution,1
1336,Kiss From A Rose,Seal,2
1337,Kisses On The Bottom,Paul McCartney,1
1338,L'amour Ou La Folie,BeauSoleil,1
1339,L-O-V-E,Blackwood Brothers,1
1340,LAGQ's Guitar Heroes,Los Angeles Guitar Quartet,1
1341,LOYALTY.,Kendrick Lamar Featuring Rihanna,1
1342,LP5,Apparat,1
1343,La La Land,(Various Artists),1
1344,La Llave De Mi Corazón,Juan Luis Guerra,1
1345,La Musica De Baldemar Huerta,Freddy Fender,1
1346,La Negra Tiene Tumbao,Celia Cruz,1
1347,La Onda Va Bien,Cal Tjader,1
1348,La Pistola y El Corazon,Los Lobos,1
1349,La Rosa De Los Vientos,Rubén Blades,1
1350,La Roux,La Roux,1
1351,La Verdad - The Truth,Eddie Palmieri,1
1352,La Vida...Es Un Ratico,Juanes,1
1353,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & Pink",1
1354,Lake Wobegon Days,Garrison Keillor,1
1355,Lalah Hathaway Live,Lalah Hathaway,1
1356,Lambada Timbales,Tito Puente,1
1357,Land Of Confusion,Genesis,1
1358,Land Of The Sun,Charlie Haden,1
1359,Landmarks,Clannad,1
1360,Last Dance,Donna Summer,1
1361,Last Dance,Sarah McLachlan,1
1362,Last Name,Carrie Underwood,1
1363,Last Of The Great Mississippi Delta Bluesmen: Live In Dallas,"Henry James Townsend, Joe Willie ""Pinetop"" Perkins, Robert Lockwood, Jr. & David ""Honeyboy"" Edwards",1
1364,Late Registration,Kanye West,1
1365,Latin Soul,Poncho Sanchez,1
1366,Latino,Grupo Mania,1
1367,Laws Of Gravity,The Infamous Stringdusters,1
1368,Lay Your Burden Down,Buckwheat Zydeco,1
1369,Lazaretto,Jack White,1
1370,Le Lo Lai,Jose Feliciano,1
1371,"Le Mystere Des Voix Bulgares, Vol. II",(Bulgarian State Female Vocal Choir),1
1372,Lead Me On,Amy Grant,1
1373,Learn To Fly,Foo Fighters,1
1374,Leave Me Alone,Michael Jackson,1
1375,Leaving Cottondale,Alison Brown & Béla Fleck,1
1376,Legacy,Doc Watson & David Holt,1
1377,Legend,(Sam Cooke),1
1378,Legends Of Hawaiian Slack Key Guitar - Live From Maui,(Various Artists),1
1379,Lemonade,Beyoncé,1
1380,"Lena Horne - The Lady And Her Music, Live On Broadway",Lena Horne,1
1381,Lenny,(Original Cast),1
1382,Lesson Of Love,Ashley Cleveland,1
1383,Let Brotherly Love Continue,Daniel Winans,1
1384,Let Her Cry,Hootie & The Blowfish,1
1385,Let It Go,"Kristen Anderson-Lopez & Robert Lopez, songwriters (Idina Menzel)",1
1386,Let It Whip,Dazz Band,1
1387,Let Me Be There,Olivia Newton-John,1
1388,Let Me Blow Ya Mind,Eve Featuring Gwen Stefani,1
1389,Let Me Live,Charley Pride,1
1390,Let Me Ride,Dr. Dre,1
1391,Let My People Go,The Winans,1
1392,Let The Good Times Roll,Ray Charles,1
1393,Let The River Run (From Working Girl),"Carly Simon, songwriter (Carly Simon)",1
1394,Let The Whole World Sing,Jimmy Sturr And His Orchestra,1
1395,Let Them Fall In Love,CeCe Winans,1
1396,Let's All Sing With The Chipmunks,"(David Seville And The Chipmunks) Ross Bagdasarian, Sr.",1
1397,Let's Get It Started,The Black Eyed Peas,1
1398,Let's Get Small,Steve Martin,1
1399,Let's Just Praise The Lord,The Bill Gaither Trio,1
1400,Let's Kiss: 25th Anniversary Album,Brave Combo,1
1401,Let's Make Love,Faith Hill & Tim McGraw,1
1402,Let's Polka 'Round,Jimmy Sturr,1
1403,Let's Roll,Etta James,1
1404,Let's Twist Again,Chubby Checker,1
1405,Letter From Home,Pat Metheny Group,1
1406,Letter To Me,Brad Paisley,1
1407,Lies And The Lying Liars Who Tell Them: A Fair And Balanced Look At The Right (Al Franken),Al Franken,1
1408,Life In The Bubble,Gordon Goodwin's Big Phat Band,1
1409,Lifesong,Casting Crowns,1
1410,Lift Up The Name Of Jesus,Blackwood Brothers,1
1411,Light My Fire,Jose Feliciano,1
1412,Light Years,Chick Corea,1
1413,Like Minds,"Gary Burton, Chick Corea, Pat Metheny, Roy Haynes & Dave Holland",1
1414,Like We Never Loved At All,Faith Hill & Tim McGraw,1
1415,Like Young,David Rose And His Orchestra With Andre Previn,1
1416,Lil' Jack Slade,Dixie Chicks,1
1417,Limón Y Sal,Julieta Venegas,1
1418,Linked,Bonobo,1
1419,Liquid Spirit,Gregory Porter,1
1420,Listen Here!,Eddie Palmieri,1
1421,Listen To The Storyteller,"Wynton Marsalis, Graham Greene & Kate Winslet",1
1422,Literal,Juan Luis Guerra 4.40,1
1423,Little Ghetto Boy,Lalah Hathaway,1
1424,Little Liza Jane,Alison Krauss & Union Station,1
1425,Little Things,India.Arie,1
1426,Little Wing,Stevie Ray Vaughan & Double Trouble,1
1427,Live,Alison Krauss & Union Station,1
1428,Live,Selena,1
1429,Live - One Last Time,The Clark Sisters,1
1430,Live And Direct,Mighty Clouds Of Joy,1
1431,Live At Carnegie Hall - The 50th Anniversary Concert,Patti Page,1
1432,Live At Gilley's!,Jimmy Sturr,1
1433,Live At Madison Square Garden,Louis C.K.,1
1434,Live At Manchester Craftsmen's Guild,Grover Mitchell,1
1435,Live At San Quentin,B.B. King,1
1436,Live At The 2008 New Orleans Jazz & Heritage Festival,BeauSoleil & Michael Doucet,1
1437,Live At The Apollo,B.B. King,1
1438,Live At The Blue Note,"Michel Camilo With Charles Flores & Horacio ""El Negro"" Hernandez",1
1439,Live At The Royal Festival Hall,Dizzy Gillespie,1
1440,Live At The Village Vanguard,Chucho Valdés,1
1441,Live From Hell,Sam Kinison,1
1442,Live In London,Andrae Crouch & The Disciples,1
1443,Live In Munich,Thad Jones & Mel Lewis,1
1444,Live In Paris,Diana Krall,1
1445,"Live In Prague, Czech Republic",Doyle Lawson & Quicksilver,1
1446,Live Kisses,Paul McCartney,1
1447,Live Like You Were Dying,Tim McGraw,1
1448,Live On The Sunset Strip,Richard Pryor,1
1449,Live Revelations,Third Day,1
1450,Live! - One Night Only,Patti LaBelle,1
1451,Live! Worldwide,Terrance Simien & The Zydeco Experience,1
1452,Live: Singing For Peace Around The World,Ladysmith Black Mambazo,1
1453,Livin' On The Edge,Aerosmith,1
1454,"Livin', Lovin',  Losin' - Songs Of The Louvin Brothers",(Various Artists),1
1455,Living For The City,Ray Charles,1
1456,Living In America,James Brown,1
1457,Living On Polka Time,Jimmy Sturr,1
1458,Living Proof,Buddy Guy,1
1459,Livro,Caetano Veloso,1
1460,Llego...Van Van - Van Van Is Here,Los Van Van,1
1461,Lo Dijo El Corazón,Joan Sebastian,1
1462,Locked Down,Dr. John,1
1463,Lollipops And Roses,Jack Jones,1
1464,Lonely Boy,The Black Keys,1
1465,Lonely Runs Both Ways,Alison Krauss And Union Station,1
1466,Lonesome Cities,Rod McKuen,1
1467,Long Journey Home,The Chieftains,1
1468,Long Live Love,Kirk Franklin,1
1469,Long Time Gone,Dixie Chicks,1
1470,Longing In Their Hearts,Bonnie Raitt,1
1471,Look Now,Elvis Costello & The Imposters,1
1472,Look To The Rainbow,Al Jarreau,1
1473,Look Up Child,Lauren Daigle,1
1474,Look What I Got!,Betty Carter,1
1475,Looking In The Eyes Of Love,Alison Krauss & Union Station,1
1476,"Lord, Let Me Be An Instrument",James Cleveland & The Charles Fold Singers,1
1477,Los Cochinos,Cheech & Chong,1
1478,Los De Atras Vienen Conmigo,Calle 13,1
1479,Los Extraterrestres,Wisin y Yandel,1
1480,Los Super Seven,Los Super Seven,1
1481,Los Tigres Del Norte And Friends,Los Tigres Del Norte,1
1482,Lose Control,Missy Elliott Featuring Ciara & Fat Man Scoop,1
1483,Lose Yourself,Eminem,1
1484,Losing My Religion,Kirk Franklin,1
1485,Losing My Religion,R.E.M.,2
1486,Lost Highway,Willie Nelson & Ray Price,1
1487,Lost In The Fifties Tonight,Ronnie Milsap,1
1488,Lost In The Fifties Tonight (In The Still Of The Night),Ronnie Milsap,1
1489,Lost In The Lonesome Pines,"Jim Lauderdale, Ralph Stanley & The Clinch Mountain Boys",1
1490,Love,(The Beatles),1
1491,Love & Liberation,Jazzmeia Horn,1
1492,Love (Deluxe Edition),Michael Bublé,1
1493,Love Again,Daniel Caesar & Brandy,1
1494,Love And Theft,Bob Dylan,1
1495,Love Bites (So Do I),Halestorm,1
1496,Love Can Build A Bridge,The Judds,1
1497,Love God. Love People.,Israel Houghton,1
1498,Love Is A Battlefield,Pat Benatar,1
1499,Love Is My Religion,Ziggy Marley,1
1500,Love Is Strong,The Rolling Stones,1
1501,Love On Top,Beyoncé,1
1502,Love Overboard,Gladys Knight & The Pips,1
1503,Love Remains,Hillary Scott & The Scott Family,1
1504,Love Song,Anne Murray,1
1505,Love Theme From A Star Is Born (Evergreen),Barbra Streisand,1
1506,Love Theme From Romeo And Juliet,Percy Faith Orchestra And Chorus,1
1507,Love Will Keep Us Together,Captain & Tennille,1
1508,Love You I Do (From Dreamgirls),"Siedah Garrett & Henry Krieger, songwriters (Jennifer Hudson)",1
1509,Love's In Need Of Love Today,Stevie Wonder & Take 6,1
1510,Love's River,Laura Sullivan,1
1511,"Love, Marriage & Divorce",Toni Braxton & Babyface,1
1512,LoveStoned/I Think She Knows,Justin Timberlake,1
1513,Lover,Taylor Swift,1
1514,Lover Please,Kris Kristofferson & Rita Coolidge,1
1515,Loverly,Cassandra Wilson,1
1516,Lovers Rock,Sade,1
1517,Loves Me Like A Rock,Dixie Hummingbirds,1
1518,Lovin' Life,Gaither Vocal Band,1
1519,Lucille,Kenny Rogers,1
1520,Luck Of The Draw,Bonnie Raitt,1
1521,Lucky,Jason Mraz & Colbie Caillat,1
1522,Lyin' Eyes,Eagles,1
1523,Lyle Lovett And His Large Band,Lyle Lovett,1
1524,MTV Unplugged,Tony Bennett,2
1525,MTV Unplugged Deluxe Edition,Juanes,1
1526,MTV Unplugged In New York,Nirvana,1
1527,Ma Rainey's Black Bottom,(Original Broadway Cast),1
1528,MacArthur Park,Waylon Jennings & The Kimberlys,1
1529,Machito & His Salsa Big Band '82,Machito,1
1530,Mack The Knife,Bobby Darin,1
1531,Mack The Knife,Ella Fitzgerald,1
1532,Mack The Knife - Ella In Berlin,Ella Fitzgerald,1
1533,Made In Brazil,Eliane Elias,1
1534,Madonna - Blonde Ambition World Tour Live,Madonna,1
1535,Make It Mine,Jason Mraz,1
1536,"Make No Mistake, She's Mine",Ronnie Milsap & Kenny Rogers,1
1537,Makes Me Wonder,Maroon 5,1
1538,Makin' Whoopee,Dr. John & Rickie Lee Jones,1
1539,Making Michael Jackson's Thriller,Michael Jackson,1
1540,Making Mirrors,Gotye,1
1541,Mama Don't Allow,Tom Chapin,1
1542,Mama He's Crazy,The Judds,1
1543,Mama Said Knock You Out,LL Cool J,1
1544,Mamas Don't Let Your Babies Grow Up To Be Cowboys,Waylon Jennings & Willie Nelson,1
1545,Mambo Birdland,Tito Puente,1
1546,Mambo Diablo,Tito Puente & His Latin Ensemble,1
1547,Mambo Sinuendo,Ry Cooder & Manuel Galbán,1
1548,Man! I Feel Like A Woman!,Shania Twain,1
1549,Mandatory Fun,Weird Al Yankovic,1
1550,Mano A Mano - Tangos A La Manera De Vicente Fernández,Vicente Fernández,1
1551,Maria Maria,Santana,1
1552,Mariachi Suite,Los Lobos,1
1553,Mark Isham,Mark Isham,1
1554,Mark Twang,John Hartford,1
1555,Marlo Thomas & Friends: Thanks & Giving All Year Long,(Various Artists),1
1556,Marooned,Pink Floyd,1
1557,Marsalis Standard Time - Volume I,Wynton Marsalis,1
1558,Martin,Shirley Caesar,1
1559,Marwa Blues,George Harrison,1
1560,Mary Poppins,"Julie Andrews, Dick Van Dyke",1
1561,Mas Canciones,Linda Ronstadt,1
1562,Mass Manipulation,Steel Pulse,1
1563,Master Of Eyes,Aretha Franklin,1
1564,Master Sessions Volume 1,Cachao,1
1565,Masterpiece/Obra Maestra,Tito Puente & Eddie Palmieri,1
1566,Masters Of Hawaiian Slack Key Guitar - Vol. 1,(Various Artists),1
1567,"Masters Of Hawaiian Slack Key Guitar, Volume 2",(Various Artists),1
1568,Me And Jerry,Jerry Reed & Chet Atkins,1
1569,Me And Mrs. Jones,Billy Paul,1
1570,Me Enamore,Jose Feliciano,1
1571,Me Gustas Tal Como Eres,Luis Miguel & Sheena Easton,1
1572,Mean,Taylor Swift,1
1573,Meantime,Bebe Winans,1
1574,Men In Black,Will Smith,1
1575,Mendocino County Line,Willie Nelson & Lee Ann Womack,1
1576,Mental Illness,Aimee Mann,1
1577,Mercy,Andrae Crouch,1
1578,"Mercy, Mercy, Mercy",Cannonball Adderley Quintet,1
1579,Metallica,Metallica,1
1580,Mettavolution,Rodrigo y Gabriela,1
1581,Mi Tierra,Gloria Estefan,1
1582,Miami Vice Theme,Jan Hammer,1
1583,Michael Bublé Meets Madison Square Garden,Michael Bublé,1
1584,Michael Nesmith In Elephant Parts,Michael Nesmith,1
1585,Michael W. Smith,Michael W. Smith,1
1586,Middle Child,J. Cole,1
1587,Midnight Flyer,"Nat ""King"" Cole",1
1588,Midnight Hour,"Skrillex, Boys Noize & Ty Dolla $ign",1
1589,Midnight In Paris,(Various Artists),1
1590,Midnight Train To Georgia,Gladys Knight & The Pips,1
1591,Miho: Journey To The Mountain,Paul Winter Consort,1
1592,Miles Ahead,(Miles Davis) & Various Artists,1
1593,Miles And Quincy Live At Montreux,Miles Davis & Quincy Jones,1
1594,Mind Control,Stephen Marley,1
1595,Mind Control - Acoustic,Stephen Marley,1
1596,Mingus Big Band Live At Jazz Standard,Mingus Big Band,1
1597,Minute By Minute,Larry Carlton,1
1598,Minute By Minute,The Doobie Brothers,1
1599,Miss Independent,Ne-Yo,1
1600,Mission Impossible/Norwegian Wood Medley,Alan Copeland Singers,1
1601,Missionary Man,The Eurythmics,1
1602,Modern Times,Bob Dylan,1
1603,Modern Vampires Of The City,Vampire Weekend,1
1604,Monday Night Live At The Village Vanguard,The Vanguard Jazz Orchestra,1
1605,"Monday, Monday",Mamas And The Papas,1
1606,Money For Nothing,Dire Straits,1
1607,Money Jungle: Provocative In Blue,Terri Lyne Carrington,1
1608,"Monsters, Inc. - Scream Factory Favorites",Riders In The Sky,1
1609,Montaner,Ricardo Montaner,1
1610,Moody 4B,James Moody,1
1611,Moody's Mood,George Benson,1
1612,Moon River,Henry Mancini,1
1613,More Grand Old Gospel,Porter Wagoner And The Blackwood Brothers Quartet,1
1614,More Live,Phil Woods Quartet,1
1615,More Than Wonderful,Sandi Patti & Larnelle Harris,1
1616,More Work To Be Done,Third World,1
1617,Mornin',George Benson (& Al Jarreau),1
1618,Morning Like This,Sandi Patti,1
1619,Morning Phase,Beck,2
1620,Most High,Jimmy Page & Robert Plant,1
1621,Mountain High...Valley Low,Yolanda Adams,1
1622,Mountain Music,Alabama,1
1623,Mountain Soul II,Patty Loveless,1
1624,Mr. Know-It-All,John Waters,1
1625,Mr. Lucky,Henry Mancini,1
1626,Mrs. O'Leary's Cow,Brian Wilson,1
1627,Mrs. Robinson,Simon And Garfunkel,2
1628,Ms. Jackson,OutKast,1
1629,Much Afraid,Jars Of Clay,1
1630,"Muddy ""Mississippi"" Waters Live",Muddy Waters,1
1631,Mule Variations,Tom Waits,1
1632,Multiviral,Calle 13,1
1633,Mundo,Rubén Blades,1
1634,Music And Friends,Walter Ostanek Band,1
1635,Musician,Ernie Watts,1
1636,Musicology,Prince,1
1637,Mutations,Beck,1
1638,My Apocalypse,Metallica,1
1639,My Beautiful Dark Twisted Fantasy,Kanye West,1
1640,My Boo,Usher & Alicia Keys,1
1641,My Church,Maren Morris,1
1642,My Father's Eyes,Eric Clapton,1
1643,My Favorite Picture Of You,Guy Clark,1
1644,My Finest Work Yet,Andrew Bird,1
1645,My Guitar Sings The Blues,B.B. King,1
1646,My Heart Will Go On (Love Theme From Titanic),Celine Dion,2
1647,My Heart Will Go On (Love Theme From Titanic),"James Horner & Will Jennings, songwriters (Celine Dion)",1
1648,My Humps,The Black Eyed Peas,1
1649,My Life,Bill Clinton,1
1650,My Love,Justin Timberlake Featuring T.I.,1
1651,My Maria,Brooks & Dunn,1
1652,My Name Is,Eminem,1
1653,My Name Is Barbra,Barbra Streisand,1
1654,My Toot Toot,Rockin' Sidney,1
1655,My Way,Willie Nelson,1
1656,Mystery Lady - Songs Of Billie Holiday,Etta James,1
1657,M²,Marcus Miller,1
1658,Más + Corazón Profundo,Carlos Vives,1
1659,Más Allá Del Sol,Joan Sebástian,1
1660,México En La Piel,Luis Miguel,1
1661,N****s In Paris,Jay-Z & Kanye West,1
1662,Nadie Como Tu,Solido,1
1663,Napalm & Sillyputty,George Carlin,1
1664,Nascimento,Milton Nascimento,1
1665,Necesito De Ti,Vicente Fernández,1
1666,Need You Now,Lady Antebellum,3
1667,Neither One Of Us (Wants To Be The First To Say Goodbye),Gladys Knight & The Pips,1
1668,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1
1669,Nessun Dorma,Jeff Beck,1
1670,Never Gonna Break My Faith,Aretha Franklin & Mary J. Blige (Featuring The Harlem Boys Choir),1
1671,Never Knew Love Like This Before,Stephanie Mills,1
1672,Never Scared,Chris Rock,1
1673,New Fang,Them Crooked Vultures,1
1674,New Favorite,Alison Krauss & Union Station,1
1675,New Moon Daughter,Cassandra Wilson,1
1676,New Orleans Suite,Duke Ellington,1
1677,New York Scene,Art Blakey & The Jazz Messengers,1
1678,Next Big Thing,Vince Gill,1
1679,Nick Of Time,Bonnie Raitt,3
1680,Night In Calisia,"Randy Brecker, Włodek Pawlik Trio & Kalisz Philharmonic",1
1681,Nightshift,Commodores,1
1682,No 'Ane'i,Kalani Pe'a,1
