,nominee,artist,prizes
198,And His Mother Called Him Bill,Duke Ellington,1
199,And I Am Telling You I'm Not Going,Jennifer Holliday,1
200,And If Our God Is For Us...,Chris Tomlin,1
201,And You Know That,Yellowjackets,1
202,Andre Previn Plays Harold Arlen,Andre Previn,1
203,Angel,Lalah Hathaway,1
204,Angels,Amy Grant,1
205,Anima,Thom Yorke,2
206,Anniversary,Spanish Harlem Orchestra,1
207,Another Country,The Chieftains,1
208,Another Day In Paradise,Phil Collins,1
209,Another Night In Tunisia,Bobby McFerrin & Jon Hendricks,1
210,Another Polka Celebration,Eddie Blazonczyk's Versatones,1
211,Another Sad Love Song,Toni Braxton,1
212,Another Time... Another Place,Sandi Patti,1
213,Anselma,Los Lobos,1
214,Antecedente,Rubén Blades,1
215,Anthem,Black Uhuru,1
216,Antidote,Chick Corea & The Spanish Heart Band,1
217,Antonio Brasileiro,Jobim,1
218,Any Place I'm Going,Otis Rush,1
219,Anyone For Mozart?,Ward Swingle (The Swingle Singers),1
220,Apollo XXI,Steve Lacy,1
221,Appalachian Journey,"Yo-Yo Ma, Edgar Meyer, Mark O'Connor & Various Artists",1
222,Approaching Pavonis Mons By Balloon (Utopia Planitia),The Flaming Lips,1
223,Aquarius/Let The Sunshine In (The Flesh Failures),5th Dimension,2
224,Aren't You Glad You're You,(Various Artists),1
225,Aretha,Aretha Franklin,1
226,Aries,Luis Miguel,1
227,Arrieros Somos Sesiones Acústicas,Aida Cuevas,1
228,Art And Life,Beenie Man,1
229,As I Am,Julian Marley,1
230,As Long As We're Together,Al Green,1
231,As Raw As Ever,Shabba Ranks,1
232,As She's Walking Away,Zac Brown Band & Alan Jackson,1
233,Ashanti,Ashanti,1
234,Assume Form,James Blake,1
235,Astorolus - The Great Octopus,Candlemass Featuring Tony Iommi,1
236,At 89,Pete Seeger,1
237,At Last,Beyoncé,1
238,At Last,Gladys Knight,1
239,At Seventeen,Janis Ian,1
240,At The Vanguard,The Phil Woods Quartet,1
241,At This Time,Burt Bacharach,1
242,Audience Of One,Heather Headley,1
243,Audrey Hepburn's Enchanted Tales,Audrey Hepburn,1
244,Auld Lang Syne,B.B. King,1
245,Aura,Miles Davis,1
246,Avant Gershwin,Patti Austin,1
247,Ay Te Dejo En San Antonio,Flaco Jimenez,1
248,Aztlán,Zoé,1
249,B'Day,Beyoncé,1
250,B.Y.O.B.,System Of A Down,1
251,BBC Tribute To John F. Kennedy,That Was The Week That Was (Cast),1
252,Babel,Mumford & Sons,1
253,Baby Got Back,Sir Mix-A-Lot,1
254,"Baby, Now That I've Found You",Alison Krauss,1
255,"Baby, Please Come Home",Jimmie Vaughan,1
256,Babylon The Bandit,Steel Pulse,1
257,Bach's Greatest Hits,Ward Swingle (The Swingle Singers),1
258,Bachata Rosa,Juan Luis Guerra 4.40,1
259,Back On The Block,"Melle Mel, Ice-T, Big Daddy Kane, Kool Moe Dee, Quincy Jones & Quincy D. III",1
260,Back On The Block,Quincy Jones (And Various Artists),1
261,Back To Black,Amy Winehouse,1
262,Back To Life,Soul II Soul Featuring Caron Wheeler,1
263,Back To The Sunset,Dafnis Prieto Big Band,1
264,Back Where You Started,Tina Turner,1
265,Bad Blood,Taylor Swift Featuring Kendrick Lamar,1
266,Bad Boys,Inner Circle,1
267,Bad Guy,Billie Eilish,2
268,Bad Love,Eric Clapton,1
269,Bad Romance,Lady Gaga,2
270,Baduizm,Erykah Badu,1
271,Ballin',Mustard Featuring Roddy Ricch,1
272,Band Of Gypsys - Live At Fillmore East,(Jimi Hendrix),1
273,Band On The Run,Paul McCartney & Wings,1
274,Bangarang,Skrillex,1
275,Bangarang,Skrillex Featuring Sirah,1
276,Barcelona Mona,Bruce Hornsby & Branford Marsalis,1
277,Barton Hollow,The Civil Wars,2
278,Basie,Count Basie,2
279,Basie's Bag,Frank Foster,1
280,Bass & Mandolin,Chris Thile & Edgar Meyer,1
281,Battle Hymn Of The Republic,(Mormon Tabernacle Choir),1
282,Be OK,Chrisette Michele Featuring will.i.am,1
283,Be Without You,Mary J. Blige,1
284,Beastie Boys Book,(Various Artists),1
285,Beat It,Michael Jackson,2
286,Beat Music! Beat Music! Beat Music!,Mark Guiliana,1
287,Beautiful,Christina Aguilera,1
288,Beautiful Day,U2,2
289,Beautiful Dreamer - The Songs Of Stephen Foster,(Various Artists),1
290,Beautiful Isle Of Somewhere,Jake Hess,1
291,Beautiful Life,Dianne Reeves,1
292,Beautiful Stranger (From Austin Powers - The Spy Who Shagged Me),"Madonna & William Orbit, songwriters (Madonna)",1
293,Beauty And The Beast,Celine Dion & Peabo Bryson,1
294,Beauty And The Beast,Richard Kaufman,1
295,Beauty And The Beast (From Beauty And The Beast),"Howard Ashman & Alan Menken, songwriters (Celine Dion & Peabo Bryson)",1
296,Beauty And The Beast - Original Motion Picture Soundtrack,(Various Artists),1
297,Beauty Behind The Madness,The Weeknd,1
298,Bebo De Cuba,Bebo Valdés,1
299,Because Of You,Ne-Yo,1
300,Because You Loved Me (Theme From Up Close & Personal),"Diane Warren, songwriter (Celine Dion)",1
301,Becoming,Michelle Obama,1
302,Before He Cheats,Carrie Underwood,1
303,Before I Forget,Slipknot,1
304,Before The Dawn,Buju Banton,1
305,Before The Daylight's Shot,Ashley Cleveland,1
306,Before The Next Teardrop Falls,Little Joe & La Familia,1
307,Behind Closed Doors,Charlie Rich,1
308,Behind My Camel,The Police,1
309,Being Human In Public,Jessie Reyez,1
310,Being With You,George Benson,1
311,Belafonte Folk Singers At Home And Abroad,Belafonte Folk Singers,1
312,Believe,Cher,1
313,Believe (From The Polar Express),"Glen Ballard & Alan Silvestri, songwriters (Josh Groban)",1
314,Beneath The Raven Moon,Mary Youngblood,1
315,Bennett Sings Ellington - Hot & Cool,Tony Bennett,1
316,Bernstein Conducts For Young People,Leonard Bernstein,1
317,Best Of My Love,Emotions,1
318,Best Part,H.E.R. Featuring Daniel Caesar,1
319,Bet Ain't Worth The Hand,Leon Bridges,1
320,Bette Davis Eyes,Kim Carnes,1
321,Better Be Good To Me,Tina Turner,1
322,Better Man,Little Big Town,1
323,Better Than You,Metallica,1
324,Beyond Belief,Petra,1
325,Beyond The Missouri Sky,Charlie Haden & Pat Metheny,1
326,Beyond The Sound Barrier,Wayne Shorter Quartet,1
327,Bicentenario,Pepe Aguilar,1
328,Bicentennial Nigger,Richard Pryor,1
329,Big Bad John,Jimmy Dean,1
330,Big Easy Express,"Mumford & Sons, Edward Sharpe & The Magnetic Zeros & Old Crow Medicine Show",1
331,Big Sandy/Leather Britches,Doc Watson & Merle Watson,1
332,Bigger And Blacker,Chris Rock,1
333,Bill & Gloria Gaither Present A Billy Graham Music Homecoming,Bill & Gloria Gaither & The Homecoming Friends,1
334,Bill Cosby,Bill Cosby,1
335,Bill Cosby Talks To Kids About Drugs,Bill Cosby,1
336,Bill Evans At The Montreux Jazz Festival,Bill Evans Trio,1
337,Billie Jean,Michael Jackson,1
338,Billy May's Big Fat Brass,Billy May,1
339,Birdland,Quincy Jones,1
340,Birdland,The Manhattan Transfer,1
341,Birth Of The Cool,(Miles Davis),1
342,Bitches Brew,Miles Davis,1
343,Bittersweet,Fantasia,1
344,Black Codes From The Underground,Wynton Marsalis Group,1
345,Black Hole Sun,Soundgarden,1
346,Black Messiah,D'Angelo And The Vanguard,1
347,Black Moses,Isaac Hayes,1
348,Black Radio,Robert Glasper Experiment,1
349,Black Velvet,Alannah Myles,1
350,Blackstar,David Bowie,2
351,Blacksummers' Night,Maxwell,1
352,"Blah Blah Blah: Stories About Clams, Swamp Monsters, Pirates & Dogs",Bill Harley,1
353,Blame It,Jamie Foxx & T-Pain,1
354,Bless The People - Harmonized Peyote Songs,Verdell Primeaux & Johnny Mike,1
355,Blessed,Soweto Gospel Choir,1
356,Blessed & Highly Favored,The Clark Sisters,1
357,Block Rockin' Beats,The Chemical Brothers,1
358,"Blood, Sweat And Tears","Blood, Sweat And Tears",1
359,Blow Your Pants Off,Jimmy Fallon,1
360,Blowin' In The Wind,"Peter, Paul And Mary",2
361,Blown Away,Carrie Underwood,1
362,Blue,LeAnn Rimes,1
363,Blue & Lonesome,The Rolling Stones,1
364,Blue Eyes Crying In The Rain,Willie Nelson,1
365,Blue Kentucky Girl,Emmylou Harris,1
366,Blue Moon Swamp,John Fogerty,1
367,Blue Rondo A La Turk,Al Jarreau,1
368,Bluegrass Rules!,Ricky Skaggs & Kentucky Thunder,1
369,Blues 'N' Jazz,B.B. King,1
370,Blues And The Beat,Henry Mancini,1
371,Blues Explosion,"John Hammond, Stevie Ray Vaughan & Double Trouble, Sugar Blue, Koko Taylor & The Blues Machine, Luther ""Guitar Junior"" Johnson, J.B. Hutto & The New Hawks",1
372,Blues For Coltrane - A Tribute To John Coltrane,"David Murray, McCoy Tyner, Pharoah Sanders, Cecil McBee & Roy Haynes",1
373,Blues For Dixie,Asleep At The Wheel & Lyle Lovett,1
374,Blues For Salvador,Carlos Santana,1
375,Blues In The Street,Cortelia Clark,1
376,Blues On Broadway,Ruth Brown,1
377,Blues On The Bayou,B.B. King,1
378,Blues Singer,Buddy Guy,1
379,Blues Summit,B.B. King,1
380,Blues To The Bone,Etta James,1
381,Boardwalk Empire: Volume 1,(Various Artists),1
382,Bob's Breakdowns,"Asleep At The Wheel Featuring Tommy Allsup, Floyd Domino, Larry Franklin, Vince Gill & Steve Wariner",1
383,Body And Soul,Tony Bennett & Amy Winehouse,1
384,Boheme,Deep Forest,1
385,Bon Appétit!,Cathy Fink And Marcy Marxer,1
386,Bon Iver,Bon Iver,1
387,Bone Machine,Tom Waits,1
388,Boogie On Reggae Woman,Stevie Wonder,1
389,Boogie Wonderland,"Earth, Wind & Fire",1
390,Book One,New Orleans Jazz Orchestra,1
391,Boom Boom Pow,The Black Eyed Peas,1
392,Boombastic,Shaggy,1
393,Borders Y Bailes,Los Texmaniacs,1
394,Born To Play Guitar,Buddy Guy,1
395,Born To Polka,Jimmy Sturr,1
396,Boss Of Me (From Malcolm In The Middle),"John Flansburgh & John Linnell, songwriters (They Might Be Giants)",1
397,Both Sides Now,Joni Mitchell,1
398,Both Sides Now,Judy Collins,1
399,Boulevard Of Broken Dreams,Green Day,1
400,Bow Down,I Prevail,1
401,Boy From New York City,The Manhattan Transfer,1
402,Boyfriend,Ariana Grande & Social House,1
403,Braindroppings,George Carlin,1
404,Brand New Day,Sting,2
405,Brand New Man,Brooks & Dunn With Luke Combs,1
406,Brand New Strings,Ricky Skaggs & Kentucky Thunder,1
407,Brasil,The Manhattan Transfer,1
408,Brasileiro,Sergio Mendes,1
409,Break Every Chain [Live],Tasha Cobbs,1
410,Break It To Me Gently,Juice Newton,1
411,Breakaway,Kelly Clarkson,1
412,Breakfast At Tiffany's,Henry Mancini,1
413,Breakin' Away,Al Jarreau,1
414,Breathe,Faith Hill,2
415,Breathe Again,Toni Braxton,1
416,Breezin',George Benson,1
417,Bridge Over Troubled Water,(Simon And Garfunkel),1
418,Bridge Over Troubled Water,Aretha Franklin,1
419,Bridge Over Troubled Water,Simon And Garfunkel,2
420,Brighter Days,Robert Randolph & The Family Band,1
421,Brimstone And Treacle,Sting,1
422,Bring Back The Days Of Yea And Nay,Marvin Winans,1
